,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9203.02, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920302> block group:4",78,33,,,,,,,,,,1128,61.5,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,61.5
"Block Group 1, Census Tract 9203.01, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920301> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9205, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920500> block group:1",204,84,,,,,,,,,,1726,41.7,36.7,62.8,-666666666.0,-666666666.0,-666666666.0,43.9,41.7
"Block Group 3, Census Tract 9204, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920400> block group:3",81,43,,,,,,,,,,1040,47.8,35.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 2, Census Tract 9202, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920200> block group:2",93,43,,,,,,,,,,1018,52.9,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 1, Census Tract 9201, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920100> block group:1",116,54,,,,,,,,,,759,52.9,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 2, Census Tract 9201, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920100> block group:2",94,49,,,,,,,,,,902,31.0,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.0
"Block Group 1, Census Tract 9206, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920600> block group:1",157,85,,,,,,,,,,894,59.6,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.6
"Block Group 2, Census Tract 9206, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920600> block group:2",87,48,,,,,,,,,,532,65.3,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4,65.3
"Block Group 1, Census Tract 9204, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920400> block group:1",110,48,,,,,,,,,,1513,45.8,24.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 2, Census Tract 9204, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920400> block group:2",104,48,,,,,,,,,,1346,59.0,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
"Block Group 1, Census Tract 9203.02, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920302> block group:1",75,34,,,,,,,,,,918,51.3,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.2,51.3
"Block Group 2, Census Tract 9203.02, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920302> block group:2",47,31,,,,,,,,,,643,32.6,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 3, Census Tract 9203.02, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920302> block group:3",244,41,,,,,,,,,,2442,43.5,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1
"Block Group 1, Census Tract 9202, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920200> block group:1",90,44,,,,,,,,,,1174,50.8,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1,50.8
"Block Group 3, Census Tract 9202, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920200> block group:3",77,40,,,,,,,,,,948,49.6,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 4, Census Tract 9202, Lee County, South Carolina: Summary level: 150, state:45> county:061> tract:920200> block group:4",105,37,,,,,,,,,,1478,64.6,25.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.6,64.6
