,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9506.01, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950601> block group:1",197,88,,,,,,,,,,1938,47.5,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 3, Census Tract 9506.01, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950601> block group:3",83,48,,,,,,,,,,1056,50.4,24.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 2, Census Tract 9506.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950602> block group:2",24,13,,,,,,,,,,529,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 3, Census Tract 9506.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950602> block group:3",43,15,,,,,,,,,,1095,41.7,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 4, Census Tract 9506.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950602> block group:4",33,22,,,,,,,,,,812,39.5,77.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 2, Census Tract 9501, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950100> block group:2",166,75,,,,,,,,,,1224,46.5,57.2,-666666666.0,-666666666.0,-666666666.0,21.5,-666666666.0,46.5
"Block Group 1, Census Tract 9501, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950100> block group:1",76,40,,,,,,,,,,967,52.9,24.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 1, Census Tract 9505.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950502> block group:1",50,24,,,,,,,,,,1473,51.2,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.2
"Block Group 1, Census Tract 9502.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950202> block group:1",50,28,,,,,,,,,,1032,44.4,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 4, Census Tract 9502.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950202> block group:4",102,37,,,,,,,,,,1600,60.1,40.9,-666666666.0,63.3,-666666666.0,-666666666.0,-666666666.0,60.1
"Block Group 5, Census Tract 9502.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950202> block group:5",114,40,,,,,,,,,,1842,51.7,27.0,-666666666.0,-666666666.0,-666666666.0,28.0,-666666666.0,52.4
"Block Group 2, Census Tract 9502.01, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950201> block group:2",69,29,,,,,,,,,,832,43.1,40.0,-666666666.0,-666666666.0,-666666666.0,23.3,-666666666.0,43.8
"Block Group 2, Census Tract 9506.01, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950601> block group:2",194,91,,,,,,,,,,1570,47.8,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 2, Census Tract 9505.02, Newberry County, South Carolina: Summary level: 150, state:45> county:071> tract:950502> block group:2",58,14,,,,,,,,,,601,23.3,28.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8
