,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 116, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011600> block group:3",79.0,32.0,,,,,,,,,,1588,31.5,27.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.8,32.3
"Block Group 3, Census Tract 105, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010500> block group:3",63.0,30.0,,,,,,,,,,855,37.7,31.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 4, Census Tract 105, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010500> block group:4",71.0,35.0,,,,,,,,,,877,52.1,40.3,-666666666.0,-666666666.0,-666666666.0,41.8,-666666666.0,52.1
"Block Group 1, Census Tract 105, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010500> block group:1",133.0,65.0,,,,,,,,,,1190,51.4,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 2, Census Tract 105, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010500> block group:2",115.0,66.0,,,,,,,,,,570,62.5,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.1
"Block Group 2, Census Tract 113, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011300> block group:2",132.0,68.0,,,,,,,,,,1779,31.3,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 1, Census Tract 113, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011300> block group:1",104.0,40.0,,,,,,,,,,1294,71.9,35.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,75.9
"Block Group 2, Census Tract 118, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011800> block group:2",171.0,81.0,,,,,,,,,,1990,34.0,30.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0
"Block Group 1, Census Tract 118, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011800> block group:1",104.0,63.0,,,,,,,,,,1068,48.6,25.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
"Block Group 1, Census Tract 102, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010200> block group:1",172.0,77.0,,,,,,,,,,1505,40.3,32.0,-666666666.0,25.7,-666666666.0,18.1,-666666666.0,40.3
"Block Group 3, Census Tract 118, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011800> block group:3",90.0,53.0,,,,,,,,,,526,60.3,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.3
"Block Group 4, Census Tract 118, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011800> block group:4",270.0,155.0,,,,,,,,,,889,45.5,38.5,58.9,-666666666.0,-666666666.0,-666666666.0,68.5,47.4
"Block Group 1, Census Tract 120, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:012000> block group:1",229.0,135.0,,,,,,,,,,1248,52.6,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 4, Census Tract 114, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011400> block group:4",52.0,23.0,,,,,,,,,,819,-666666666.0,32.6,-666666666.0,24.1,-666666666.0,50.3,-666666666.0,-666666666.0
"Block Group 1, Census Tract 114, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:011400> block group:1",85.0,43.0,,,,,,,,,,994,59.9,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.7
"Block Group 1, Census Tract 103, Orangeburg County, South Carolina: Summary level: 150, state:45> county:075> tract:010300> block group:1",58.0,26.0,,,,,,,,,,1148,40.1,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
