,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 207.02, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020702> block group:2",101,45,,,,,,,,,,774,44.6,35.4,-666666666.0,52.6,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 1, Census Tract 207.02, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020702> block group:1",113,54,,,,,,,,,,1084,58.3,26.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3
"Block Group 1, Census Tract 207.01, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020701> block group:1",42,18,,,,,,,,,,401,2.3,55.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6,89.5
"Block Group 3, Census Tract 207.01, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020701> block group:3",132,56,,,,,,,,,,2173,46.3,22.2,-666666666.0,13.2,-666666666.0,-666666666.0,17.4,48.8
"Block Group 1, Census Tract 206.01, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020601> block group:1",167,66,,,,,,,,,,2363,26.9,27.3,-666666666.0,36.6,6.4,8.9,24.4,27.1
"Block Group 2, Census Tract 206.01, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020601> block group:2",81,35,,,,,,,,,,821,64.6,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.4
"Block Group 3, Census Tract 206.03, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020603> block group:3",63,31,,,,,,,,,,911,41.9,28.2,-666666666.0,30.8,-666666666.0,22.8,-666666666.0,44.1
"Block Group 1, Census Tract 206.03, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:020603> block group:1",48,31,,,,,,,,,,633,39.4,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 2, Census Tract 213.01, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:021301> block group:2",161,80,,,,,,,,,,1695,61.4,40.0,-666666666.0,45.4,-666666666.0,-666666666.0,-666666666.0,67.8
"Block Group 1, Census Tract 220.04, Spartanburg County, South Carolina: Summary level: 150, state:45> county:083> tract:022004> block group:1",103,26,,,,,,,,,,759,35.8,19.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
