,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 5, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000500> block group:1",150,65,,,,,,,,,,1180,36.0,47.7,-666666666.0,-666666666.0,-666666666.0,6.3,-666666666.0,35.5
"Block Group 2, Census Tract 2.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000202> block group:2",219,81,,,,,,,,,,5384,28.4,28.3,52.3,27.6,-666666666.0,-666666666.0,10.9,29.0
"Block Group 6, Census Tract 4, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000400> block group:6",159,76,,,,,,,,,,544,32.5,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 2, Census Tract 4, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000400> block group:2",112,53,,,,,,,,,,2251,35.8,30.9,-666666666.0,55.4,-666666666.0,-666666666.0,4.0,35.8
"Block Group 4, Census Tract 4, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000400> block group:4",57,22,,,,,,,,,,1430,42.6,24.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 3, Census Tract 4, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000400> block group:3",58,25,,,,,,,,,,1482,33.4,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 3, Census Tract 7, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000700> block group:3",102,45,,,,,,,,,,1610,41.9,24.9,-666666666.0,-666666666.0,-666666666.0,29.3,-666666666.0,52.3
"Block Group 2, Census Tract 18.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001802> block group:2",117,48,,,,,,,,,,2359,34.3,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.0,36.5
"Block Group 3, Census Tract 19.01, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001901> block group:3",148,69,,,,,,,,,,728,43.1,47.7,-666666666.0,48.0,-666666666.0,-666666666.0,18.8,43.1
"Block Group 1, Census Tract 19.01, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001901> block group:1",123,46,,,,,,,,,,1931,51.0,56.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 3, Census Tract 2.01, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000201> block group:3",78,38,,,,,,,,,,1081,42.8,23.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 3, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000300> block group:2",82,36,,,,,,,,,,1145,38.5,27.5,-666666666.0,52.5,-666666666.0,-666666666.0,17.5,39.3
"Block Group 2, Census Tract 19.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001902> block group:2",118,47,,,,,,,,,,2934,31.7,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.7
"Block Group 3, Census Tract 3, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000300> block group:3",99,27,,,,,,,,,,1224,25.2,21.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5
"Block Group 1, Census Tract 17.04, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001704> block group:1",54,19,,,,,,,,,,1061,35.9,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,35.9
"Block Group 2, Census Tract 17.04, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001704> block group:2",68,27,,,,,,,,,,1690,41.5,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 3, Census Tract 17.04, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001704> block group:3",80,38,,,,,,,,,,1613,50.5,35.0,-666666666.0,-666666666.0,-666666666.0,46.3,-666666666.0,50.7
"Block Group 4, Census Tract 17.04, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001704> block group:4",65,27,,,,,,,,,,1298,29.9,35.9,-666666666.0,45.2,-666666666.0,-666666666.0,-666666666.0,34.0
"Block Group 1, Census Tract 9.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000902> block group:1",68,32,,,,,,,,,,691,44.8,56.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 2, Census Tract 9.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000902> block group:2",193,81,,,,,,,,,,2542,42.8,21.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 3, Census Tract 9.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000902> block group:3",126,52,,,,,,,,,,1543,60.1,29.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.1
"Block Group 1, Census Tract 17.03, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001703> block group:1",196,84,,,,,,,,,,2833,36.6,50.0,-666666666.0,53.2,-666666666.0,-666666666.0,8.0,36.9
"Block Group 2, Census Tract 17.03, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001703> block group:2",189,77,,,,,,,,,,2161,38.6,52.2,-666666666.0,42.8,-666666666.0,-666666666.0,17.8,40.0
"Block Group 1, Census Tract 20, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:002000> block group:1",73,41,,,,,,,,,,778,56.8,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.2
"Block Group 3, Census Tract 20, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:002000> block group:3",138,61,,,,,,,,,,1739,37.8,24.9,-666666666.0,-666666666.0,-666666666.0,17.5,36.5,37.6
"Block Group 2, Census Tract 9.01, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000901> block group:2",65,42,,,,,,,,,,818,56.3,33.6,-666666666.0,36.6,-666666666.0,27.2,-666666666.0,56.3
"Block Group 3, Census Tract 18.02, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001802> block group:3",37,17,,,,,,,,,,1106,29.5,27.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.4
"Block Group 2, Census Tract 5, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000500> block group:2",128,56,,,,,,,,,,1187,38.9,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.9
"Block Group 1, Census Tract 6, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000600> block group:1",153,67,,,,,,,,,,2006,48.4,44.6,13.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 3, Census Tract 6, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000600> block group:3",112,46,,,,,,,,,,1210,39.0,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 2, Census Tract 18.01, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001801> block group:2",163,70,,,,,,,,,,1745,43.9,25.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 1, Census Tract 11, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001100> block group:1",64,33,,,,,,,,,,850,48.2,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 2, Census Tract 11, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001100> block group:2",143,60,,,,,,,,,,1805,52.1,35.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7
"Block Group 2, Census Tract 16, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001600> block group:2",50,23,,,,,,,,,,699,-666666666.0,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 16, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:001600> block group:4",82,39,,,,,,,,,,905,33.5,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 2, Census Tract 1, Sumter County, South Carolina: Summary level: 150, state:45> county:085> tract:000100> block group:2",128,64,,,,,,,,,,1311,39.5,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
