,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 301, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030100> block group:1",104,48,,,,,,,,,,802,60.2,30.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
"Block Group 2, Census Tract 301, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030100> block group:2",197,95,,,,,,,,,,1322,58.5,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.7,58.5
"Block Group 2, Census Tract 308, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030800> block group:2",93,46,,,,,,,,,,842,41.7,49.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 4, Census Tract 308, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030800> block group:4",78,43,,,,,,,,,,685,50.5,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 3, Census Tract 308, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030800> block group:3",159,70,,,,,,,,,,923,55.7,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.4,55.9
"Block Group 1, Census Tract 306, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030600> block group:1",121,70,,,,,,,,,,904,52.4,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 4, Census Tract 304, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030400> block group:4",57,28,,,,,,,,,,842,37.0,58.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 1, Census Tract 304, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030400> block group:1",52,24,,,,,,,,,,1336,37.2,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.5,37.2
"Block Group 5, Census Tract 304, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030400> block group:5",90,40,,,,,,,,,,1813,51.7,24.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.7
"Block Group 1, Census Tract 302, Union County, South Carolina: Summary level: 150, state:45> county:087> tract:030200> block group:1",77,37,,,,,,,,,,1011,48.0,16.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.0
