,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 608.04, York County, South Carolina: Summary level: 150, state:45> county:091> tract:060804> block group:1",59,21,,,,,,,,,,814,48.4,50.8,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 3, Census Tract 608.04, York County, South Carolina: Summary level: 150, state:45> county:091> tract:060804> block group:3",49,25,,,,,,,,,,595,23.3,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.3
"Block Group 3, Census Tract 615.02, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061502> block group:3",173,70,,,,,,,,,,3080,41.1,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 2, Census Tract 617.01, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061701> block group:2",165,70,,,,,,,,,,1856,38.4,14.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.2,38.4
"Block Group 1, Census Tract 617.01, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061701> block group:1",215,93,,,,,,,,,,2392,43.8,65.8,5.6,7.6,-666666666.0,-666666666.0,8.7,44.9
"Block Group 1, Census Tract 602, York County, South Carolina: Summary level: 150, state:45> county:091> tract:060200> block group:1",91,40,,,,,,,,,,1136,30.0,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8,32.7
"Block Group 2, Census Tract 602, York County, South Carolina: Summary level: 150, state:45> county:091> tract:060200> block group:2",109,62,,,,,,,,,,1612,31.0,28.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.6,30.9
"Block Group 2, Census Tract 616.01, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061601> block group:2",109,53,,,,,,,,,,1437,35.5,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 1, Census Tract 616.01, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061601> block group:1",130,48,,,,,,,,,,1327,34.6,21.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.7,34.6
"Block Group 2, Census Tract 619, York County, South Carolina: Summary level: 150, state:45> county:091> tract:061900> block group:2",265,108,,,,,,,,,,1539,38.3,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
