,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9571, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957100> block group:1",117,56,,,,,,,,,,1307,51.4,-666666666.0,-666666666.0,19.4,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 2, Census Tract 9566, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956600> block group:2",271,124,,,,,,,,,,1130,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 1, Census Tract 9568, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956800> block group:1",164,79,,,,,,,,,,1183,44.7,-666666666.0,47.3,32.3,-666666666.0,47.5,14.5,45.8
"Block Group 1, Census Tract 9570, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957000> block group:1",40,19,,,,,,,,,,522,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 4, Census Tract 9570, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957000> block group:4",143,42,,,,,,,,,,2551,46.8,-666666666.0,-666666666.0,19.5,-666666666.0,-666666666.0,-666666666.0,56.2
"Block Group 5, Census Tract 9570, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957000> block group:5",81,37,,,,,,,,,,1520,38.3,-666666666.0,53.5,10.5,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 2, Census Tract 9567, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956700> block group:2",313,150,,,,,,,,,,922,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3
"Block Group 1, Census Tract 9569, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956900> block group:1",66,28,,,,,,,,,,769,24.9,-666666666.0,-666666666.0,20.2,-666666666.0,-666666666.0,6.4,45.8
"Block Group 2, Census Tract 9569, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956900> block group:2",119,49,,,,,,,,,,1477,29.6,-666666666.0,36.9,17.5,-666666666.0,-666666666.0,48.5,34.8
"Block Group 2, Census Tract 9571, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957100> block group:2",107,39,,,,,,,,,,1339,35.0,-666666666.0,-666666666.0,24.2,-666666666.0,4.6,-666666666.0,39.2
"Block Group 3, Census Tract 9569, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956900> block group:3",99,34,,,,,,,,,,1186,34.9,-666666666.0,-666666666.0,21.0,-666666666.0,-666666666.0,-666666666.0,34.1
"Block Group 2, Census Tract 9570, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957000> block group:2",42,17,,,,,,,,,,719,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5,-666666666.0,50.8
"Block Group 3, Census Tract 9571, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957100> block group:3",59,27,,,,,,,,,,674,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 1, Census Tract 9566, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956600> block group:1",168,69,,,,,,,,,,712,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 3, Census Tract 9570, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:957000> block group:3",42,17,,,,,,,,,,575,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 9567, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956700> block group:1",353,162,,,,,,,,,,999,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 2, Census Tract 9568, Beadle County, South Dakota: Summary level: 150, state:46> county:005> tract:956800> block group:2",97,49,,,,,,,,,,583,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
