,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:1",51,27,,,,,,,,,,1167,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.9
"Block Group 2, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:2",38,21,,,,,,,,,,1056,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.9,35.9
"Block Group 3, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:3",40,21,,,,,,,,,,691,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 2, Census Tract 203.02, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020302> block group:2",81,33,,,,,,,,,,1376,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,-666666666.0,45.1
"Block Group 1, Census Tract 203.02, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020302> block group:1",46,16,,,,,,,,,,658,55.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 1, Census Tract 203.01, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020301> block group:1",152,59,,,,,,,,,,2197,47.1,-666666666.0,15.9,-666666666.0,-666666666.0,-666666666.0,9.5,50.0
"Block Group 6, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:6",129,54,,,,,,,,,,2147,47.1,-666666666.0,-666666666.0,6.5,-666666666.0,-666666666.0,9.6,47.8
"Block Group 5, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:5",43,19,,,,,,,,,,627,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
"Block Group 1, Census Tract 205, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020500> block group:1",200,78,,,,,,,,,,2617,24.0,23.1,-666666666.0,-666666666.0,-666666666.0,30.0,21.9,23.6
"Block Group 2, Census Tract 205, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020500> block group:2",79,39,,,,,,,,,,752,39.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 1, Census Tract 202, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020200> block group:1",162,33,,,,,,,,,,754,21.4,29.3,11.6,-666666666.0,-666666666.0,-666666666.0,5.9,21.4
"Block Group 2, Census Tract 203.01, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020301> block group:2",656,246,,,,,,,,,,3742,35.1,68.1,13.6,-666666666.0,-666666666.0,10.6,12.8,35.1
"Block Group 3, Census Tract 205, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020500> block group:3",240,125,,,,,,,,,,1098,48.8,-666666666.0,11.6,11.9,-666666666.0,13.3,-666666666.0,49.2
"Block Group 3, Census Tract 203.01, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020301> block group:3",142,56,,,,,,,,,,2445,42.1,-666666666.0,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 4, Census Tract 204, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020400> block group:4",61,25,,,,,,,,,,1025,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2,47.3
"Block Group 3, Census Tract 203.02, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020302> block group:3",247,95,,,,,,,,,,3621,42.4,-666666666.0,58.4,19.4,-666666666.0,-666666666.0,11.8,42.6
"Block Group 2, Census Tract 202, Meade County, South Dakota: Summary level: 150, state:46> county:093> tract:020200> block group:2",66,0,,,,,,,,,,408,21.6,21.1,-666666666.0,-666666666.0,-666666666.0,21.7,-666666666.0,21.5
