,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 105.01, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010501> block group:1",111,44,,,,,,,,,,1508,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,32.7
"Block Group 4, Census Tract 105.01, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010501> block group:4",64,24,,,,,,,,,,638,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 1, Census Tract 104.03, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010403> block group:1",244,85,,,,,,,,,,1822,37.4,-666666666.0,-666666666.0,10.8,-666666666.0,-666666666.0,15.4,37.6
"Block Group 2, Census Tract 101.02, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010102> block group:2",105,43,,,,,,,,,,1152,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 4, Census Tract 18.03, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001803> block group:4",146,50,,,,,,,,,,2411,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 1, Census Tract 18.03, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001803> block group:1",85,30,,,,,,,,,,1633,36.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8
"Block Group 3, Census Tract 18.03, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001803> block group:3",130,55,,,,,,,,,,2624,34.9,4.8,-666666666.0,33.2,-666666666.0,-666666666.0,13.7,34.8
"Block Group 2, Census Tract 18.04, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001804> block group:2",141,52,,,,,,,,,,2087,28.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.2,29.2
"Block Group 1, Census Tract 11.08, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001108> block group:1",110,29,,,,,,,,,,1814,47.3,20.0,5.3,-666666666.0,-666666666.0,10.8,22.6,50.3
"Block Group 2, Census Tract 11.08, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001108> block group:2",74,28,,,,,,,,,,1634,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.0,36.2
"Block Group 3, Census Tract 11.08, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001108> block group:3",85,49,,,,,,,,,,1195,63.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.9
"Block Group 3, Census Tract 11.07, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001107> block group:3",87,40,,,,,,,,,,808,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 1, Census Tract 11.07, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001107> block group:1",93,40,,,,,,,,,,1357,36.4,-666666666.0,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 1, Census Tract 104.06, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010406> block group:1",257,106,,,,,,,,,,2533,32.9,-666666666.0,-666666666.0,29.6,-666666666.0,-666666666.0,5.4,32.9
"Block Group 4, Census Tract 1, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000100> block group:4",118,37,,,,,,,,,,1020,41.4,26.2,24.7,-666666666.0,-666666666.0,31.6,29.1,41.4
"Block Group 1, Census Tract 11.05, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001105> block group:1",54,26,,,,,,,,,,1262,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 2, Census Tract 4.05, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000405> block group:2",157,55,,,,,,,,,,2048,45.4,26.2,-666666666.0,22.8,-666666666.0,14.6,7.4,45.7
"Block Group 1, Census Tract 4.05, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000405> block group:1",296,105,,,,,,,,,,3529,33.0,12.1,23.5,18.9,-666666666.0,19.2,10.5,33.0
"Block Group 2, Census Tract 4.06, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000406> block group:2",149,55,,,,,,,,,,2077,30.3,23.3,24.7,42.6,-666666666.0,42.1,-666666666.0,30.2
"Block Group 2, Census Tract 4.07, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000407> block group:2",84,37,,,,,,,,,,1037,36.5,60.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 1, Census Tract 104.01, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010401> block group:1",256,81,,,,,,,,,,1884,37.4,-666666666.0,20.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 3, Census Tract 104.04, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:010404> block group:3",66,24,,,,,,,,,,800,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 3, Census Tract 5, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000500> block group:3",82,34,,,,,,,,,,926,45.8,-666666666.0,42.3,-666666666.0,-666666666.0,-666666666.0,8.7,45.8
"Block Group 1, Census Tract 5, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000500> block group:1",152,68,,,,,,,,,,1810,31.6,42.2,6.6,-666666666.0,-666666666.0,22.9,17.4,32.7
"Block Group 3, Census Tract 11.01, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001101> block group:3",97,56,,,,,,,,,,1749,29.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.2,29.6
"Block Group 2, Census Tract 6, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:000600> block group:2",144,73,,,,,,,,,,1598,34.8,29.2,15.0,-666666666.0,-666666666.0,-666666666.0,7.8,34.5
"Block Group 2, Census Tract 16, Minnehaha County, South Dakota: Summary level: 150, state:46> county:099> tract:001600> block group:2",182,73,,,,,,,,,,2032,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,34.1
