,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9502, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950200> block group:1",153,55,,,,,,,,,,3087,31.3,68.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.2
"Block Group 1, Census Tract 9503, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950300> block group:1",222,83,,,,,,,,,,2219,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.1,7.6,44.2
"Block Group 4, Census Tract 9505, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950500> block group:4",48,20,,,,,,,,,,1287,35.3,75.4,-666666666.0,-666666666.0,-666666666.0,45.3,-666666666.0,35.7
"Block Group 3, Census Tract 9505, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950500> block group:3",69,37,,,,,,,,,,1134,40.6,70.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1,40.6
"Block Group 1, Census Tract 9505, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950500> block group:1",51,25,,,,,,,,,,1067,47.7,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,49.2
"Block Group 2, Census Tract 9502, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950200> block group:2",156,58,,,,,,,,,,2803,37.7,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.2,37.7
"Block Group 2, Census Tract 9503, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950300> block group:2",133,53,,,,,,,,,,1628,41.2,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 2, Census Tract 9507, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950700> block group:2",155,65,,,,,,,,,,1461,33.4,67.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.1
"Block Group 1, Census Tract 9507, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950700> block group:1",202,88,,,,,,,,,,1326,41.8,57.8,-666666666.0,5.7,-666666666.0,-666666666.0,6.4,42.5
"Block Group 1, Census Tract 9501, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950100> block group:1",294,115,,,,,,,,,,1306,45.0,45.8,-666666666.0,-666666666.0,-666666666.0,47.5,9.6,45.0
"Block Group 2, Census Tract 9501, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950100> block group:2",236,96,,,,,,,,,,2311,43.4,39.7,31.8,48.3,-666666666.0,-666666666.0,16.1,43.7
"Block Group 1, Census Tract 9508, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950800> block group:1",140,61,,,,,,,,,,1538,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4
"Block Group 2, Census Tract 9508, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950800> block group:2",144,67,,,,,,,,,,1185,46.9,67.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 2, Census Tract 9506, Bedford County, Tennessee: Summary level: 150, state:47> county:003> tract:950600> block group:2",46,22,,,,,,,,,,1392,50.0,22.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.2,50.0
