,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9503, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950300> block group:1",99,48,,,,,,,,,,769,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 4, Census Tract 9507, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950700> block group:4",88,43,,,,,,,,,,1297,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.6
"Block Group 1, Census Tract 9501, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950100> block group:1",130,65,,,,,,,,,,1385,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 1, Census Tract 9502, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950200> block group:1",171,99,,,,,,,,,,1288,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 5, Census Tract 9506, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950600> block group:5",48,22,,,,,,,,,,380,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4
"Block Group 1, Census Tract 9506, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950600> block group:1",116,44,,,,,,,,,,1208,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 1, Census Tract 9509, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950900> block group:1",139,104,,,,,,,,,,1476,49.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 2, Census Tract 9509, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950900> block group:2",143,62,,,,,,,,,,1439,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 2, Census Tract 9510, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:951000> block group:2",101,59,,,,,,,,,,1596,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.4
"Block Group 1, Census Tract 9510, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:951000> block group:1",89,45,,,,,,,,,,1173,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 1, Census Tract 9511, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:951100> block group:1",49,26,,,,,,,,,,1086,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 3, Census Tract 9511, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:951100> block group:3",117,49,,,,,,,,,,2404,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 2, Census Tract 9511, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:951100> block group:2",121,61,,,,,,,,,,2269,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 3, Census Tract 9504, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950400> block group:3",208,98,,,,,,,,,,1868,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 2, Census Tract 9504, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950400> block group:2",88,42,,,,,,,,,,953,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 1, Census Tract 9504, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950400> block group:1",117,55,,,,,,,,,,2131,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 3, Census Tract 9506, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950600> block group:3",78,36,,,,,,,,,,1054,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.4
"Block Group 3, Census Tract 9505, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950500> block group:3",129,47,,,,,,,,,,1783,34.5,22.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 9508, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950800> block group:2",91,52,,,,,,,,,,1044,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 2, Census Tract 9503, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950300> block group:2",125,62,,,,,,,,,,1027,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 1, Census Tract 9507, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950700> block group:1",91,32,,,,,,,,,,801,61.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.9
"Block Group 3, Census Tract 9501, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950100> block group:3",91,48,,,,,,,,,,980,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9,45.4
"Block Group 2, Census Tract 9501, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950100> block group:2",77,32,,,,,,,,,,616,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 2, Census Tract 9502, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950200> block group:2",135,53,,,,,,,,,,1047,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8,-666666666.0,47.4
"Block Group 3, Census Tract 9507, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950700> block group:3",108,54,,,,,,,,,,1823,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 2, Census Tract 9507, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950700> block group:2",64,29,,,,,,,,,,839,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 2, Census Tract 9506, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950600> block group:2",60,36,,,,,,,,,,697,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.3
"Block Group 4, Census Tract 9506, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950600> block group:4",95,42,,,,,,,,,,1026,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 1, Census Tract 9505, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950500> block group:1",161,83,,,,,,,,,,1483,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.3
"Block Group 4, Census Tract 9505, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950500> block group:4",154,65,,,,,,,,,,1220,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.3,46.9
"Block Group 2, Census Tract 9505, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950500> block group:2",54,30,,,,,,,,,,865,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 9508, Campbell County, Tennessee: Summary level: 150, state:47> county:013> tract:950800> block group:1",98,45,,,,,,,,,,1149,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
