,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 701.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070102> block group:1",144,58,,,,,,,,,,1355,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 704.01, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070401> block group:1",116,48,,,,,,,,,,929,40.7,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 2, Census Tract 704.01, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070401> block group:2",170,67,,,,,,,,,,1546,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 1, Census Tract 702.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070202> block group:1",46,23,,,,,,,,,,822,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.7
"Block Group 2, Census Tract 702.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070202> block group:2",170,65,,,,,,,,,,1873,35.0,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.4,35.0
"Block Group 3, Census Tract 702.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070202> block group:3",152,64,,,,,,,,,,1958,45.5,56.5,-666666666.0,-666666666.0,4.6,-666666666.0,-666666666.0,45.6
"Block Group 1, Census Tract 702.03, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070203> block group:1",107,42,,,,,,,,,,1715,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 2, Census Tract 702.03, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070203> block group:2",133,54,,,,,,,,,,1805,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.2,38.0
"Block Group 2, Census Tract 704.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070402> block group:2",363,140,,,,,,,,,,3620,47.0,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,47.1
"Block Group 3, Census Tract 704.02, Cheatham County, Tennessee: Summary level: 150, state:47> county:021> tract:070402> block group:3",258,109,,,,,,,,,,1612,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,-666666666.0,40.4
