,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9702, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970200> block group:2",70,27,,,,,,,,,,1249,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.5,48.4
"Block Group 1, Census Tract 9702, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970200> block group:1",106,50,,,,,,,,,,2250,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 4, Census Tract 9704, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970400> block group:4",58,24,,,,,,,,,,1280,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.0,22.2,51.1
"Block Group 3, Census Tract 9704, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970400> block group:3",90,14,,,,,,,,,,1030,28.4,30.1,31.1,-666666666.0,-666666666.0,-666666666.0,30.1,30.7
"Block Group 2, Census Tract 9704, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970400> block group:2",103,45,,,,,,,,,,2649,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.2,41.4
"Block Group 2, Census Tract 9705, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970500> block group:2",127,52,,,,,,,,,,2462,28.7,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.5,28.6
"Block Group 3, Census Tract 9705, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970500> block group:3",74,25,,,,,,,,,,1227,44.5,51.4,-666666666.0,39.9,-666666666.0,-666666666.0,58.1,45.0
"Block Group 1, Census Tract 9706, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970600> block group:1",132,49,,,,,,,,,,1508,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8,39.5
"Block Group 3, Census Tract 9706, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970600> block group:3",106,46,,,,,,,,,,1442,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3,38.0
"Block Group 1, Census Tract 9709, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970900> block group:1",65,27,,,,,,,,,,544,34.6,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 4, Census Tract 9709, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970900> block group:4",111,52,,,,,,,,,,1480,32.2,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.1,32.4
"Block Group 1, Census Tract 9701, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970100> block group:1",194,77,,,,,,,,,,2632,36.7,-666666666.0,-666666666.0,14.2,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 2, Census Tract 9707, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970700> block group:2",240,94,,,,,,,,,,2770,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7,5.6,37.5
"Block Group 1, Census Tract 9710, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:971000> block group:1",69,27,,,,,,,,,,1054,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7,45.0
"Block Group 2, Census Tract 9708.01, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970801> block group:2",79,36,,,,,,,,,,1340,27.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,27.9
"Block Group 1, Census Tract 9708.02, Coffee County, Tennessee: Summary level: 150, state:47> county:031> tract:970802> block group:1",45,25,,,,,,,,,,801,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.1
