,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9652, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965200> block group:2",253,129,,,,,,,,,,2171,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 3, Census Tract 9651, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965100> block group:3",124,68,,,,,,,,,,1197,33.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.7
"Block Group 2, Census Tract 9651, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965100> block group:2",80,42,,,,,,,,,,798,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1
"Block Group 3, Census Tract 9652, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965200> block group:3",55,23,,,,,,,,,,1082,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.0
"Block Group 1, Census Tract 9652, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965200> block group:1",116,54,,,,,,,,,,2485,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 1, Census Tract 9651, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965100> block group:1",130,55,,,,,,,,,,1229,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.1,34.3
"Block Group 4, Census Tract 9651, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965100> block group:4",192,79,,,,,,,,,,1289,48.2,42.3,-666666666.0,-666666666.0,-666666666.0,57.1,-666666666.0,48.2
"Block Group 1, Census Tract 9650, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965000> block group:1",146,82,,,,,,,,,,1506,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.3,49.6
"Block Group 2, Census Tract 9650, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965000> block group:2",137,79,,,,,,,,,,1546,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 1, Census Tract 9653, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965300> block group:1",128,66,,,,,,,,,,1672,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.5,50.1
"Block Group 2, Census Tract 9653, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965300> block group:2",127,59,,,,,,,,,,1766,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 3, Census Tract 9653, Fentress County, Tennessee: Summary level: 150, state:47> county:049> tract:965300> block group:3",103,49,,,,,,,,,,1190,42.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
