,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9601, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960100> block group:3",115,47,,,,,,,,,,1145,37.9,59.4,-666666666.0,-666666666.0,-666666666.0,3.4,6.8,38.8
"Block Group 1, Census Tract 9601, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960100> block group:1",75,44,,,,,,,,,,715,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3,53.0
"Block Group 2, Census Tract 9608, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960800> block group:2",325,159,,,,,,,,,,979,45.1,69.1,-666666666.0,-666666666.0,-666666666.0,7.5,14.9,45.1
"Block Group 4, Census Tract 9604, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960400> block group:4",157,66,,,,,,,,,,2445,52.0,20.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3,52.0
"Block Group 1, Census Tract 9604, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960400> block group:1",270,130,,,,,,,,,,1995,42.4,44.3,-666666666.0,-666666666.0,-666666666.0,26.2,25.3,42.4
"Block Group 3, Census Tract 9604, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960400> block group:3",51,28,,,,,,,,,,1068,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 9606, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960600> block group:3",81,36,,,,,,,,,,1831,28.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.6
"Block Group 1, Census Tract 9606, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960600> block group:1",208,113,,,,,,,,,,1831,47.5,62.4,48.2,-666666666.0,-666666666.0,-666666666.0,18.7,47.5
"Block Group 2, Census Tract 9605, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960500> block group:2",130,58,,,,,,,,,,1643,49.5,61.3,-666666666.0,-666666666.0,-666666666.0,37.3,9.4,48.6
"Block Group 3, Census Tract 9607, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960700> block group:3",323,39,,,,,,,,,,2285,21.2,20.9,-666666666.0,20.0,-666666666.0,-666666666.0,19.7,21.3
"Block Group 2, Census Tract 9607, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960700> block group:2",124,42,,,,,,,,,,1163,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5,33.7
"Block Group 1, Census Tract 9603, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960300> block group:1",126,52,,,,,,,,,,1444,34.0,64.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.1,34.0
"Block Group 2, Census Tract 9602.02, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960202> block group:2",139,53,,,,,,,,,,1949,38.2,-666666666.0,33.8,-666666666.0,-666666666.0,-666666666.0,8.6,38.2
"Block Group 3, Census Tract 9602.02, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960202> block group:3",184,92,,,,,,,,,,1353,49.9,58.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.2,49.9
"Block Group 2, Census Tract 9602.01, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960201> block group:2",125,55,,,,,,,,,,2674,54.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 2, Census Tract 9601, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960100> block group:2",112,54,,,,,,,,,,1594,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.0
"Block Group 1, Census Tract 9608, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960800> block group:1",184,81,,,,,,,,,,2025,41.6,34.5,-666666666.0,-666666666.0,-666666666.0,26.0,45.2,42.3
"Block Group 2, Census Tract 9604, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960400> block group:2",82,37,,,,,,,,,,1750,49.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 2, Census Tract 9606, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960600> block group:2",203,92,,,,,,,,,,902,51.6,30.6,-666666666.0,-666666666.0,-666666666.0,17.4,18.3,51.6
"Block Group 3, Census Tract 9605, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960500> block group:3",57,35,,,,,,,,,,656,42.3,67.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2,42.3
"Block Group 1, Census Tract 9607, Franklin County, Tennessee: Summary level: 150, state:47> county:051> tract:960700> block group:1",72,33,,,,,,,,,,818,43.7,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
