,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9208, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920800> block group:1",216,101,,,,,,,,,,1291,48.2,59.8,-666666666.0,13.5,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 2, Census Tract 9206, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920600> block group:2",221,99,,,,,,,,,,1258,41.2,15.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,41.1
"Block Group 1, Census Tract 9206, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920600> block group:1",149,67,,,,,,,,,,1490,45.1,27.5,-666666666.0,-666666666.0,-666666666.0,7.8,-666666666.0,45.1
"Block Group 1, Census Tract 9202, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920200> block group:1",159,67,,,,,,,,,,1673,47.9,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 3, Census Tract 9202, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920200> block group:3",124,25,,,,,,,,,,880,20.6,29.9,-666666666.0,-666666666.0,-666666666.0,22.6,20.3,20.7
"Block Group 2, Census Tract 9203, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920300> block group:2",111,43,,,,,,,,,,2388,29.2,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.2
"Block Group 4, Census Tract 9203, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920300> block group:4",65,35,,,,,,,,,,988,51.8,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.6,54.2
"Block Group 1, Census Tract 9204, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920400> block group:1",151,69,,,,,,,,,,1355,51.6,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.5
"Block Group 1, Census Tract 9205, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920500> block group:1",175,81,,,,,,,,,,2048,47.9,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 3, Census Tract 9205, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920500> block group:3",94,45,,,,,,,,,,1387,35.6,55.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 2, Census Tract 9205, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920500> block group:2",98,44,,,,,,,,,,1053,47.9,32.9,-666666666.0,47.3,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 2, Census Tract 9208, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920800> block group:2",351,159,,,,,,,,,,1539,47.2,37.9,-666666666.0,47.3,-666666666.0,24.3,21.2,47.5
"Block Group 1, Census Tract 9201, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920100> block group:1",220,91,,,,,,,,,,1965,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.7,44.8
"Block Group 1, Census Tract 9207, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920700> block group:1",240,117,,,,,,,,,,1748,45.1,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.5,45.1
"Block Group 2, Census Tract 9202, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920200> block group:2",185,72,,,,,,,,,,2205,39.9,38.8,-666666666.0,-666666666.0,-666666666.0,10.6,6.1,39.8
"Block Group 3, Census Tract 9203, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920300> block group:3",63,32,,,,,,,,,,1188,47.9,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.2,51.2
"Block Group 1, Census Tract 9203, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920300> block group:1",94,47,,,,,,,,,,1809,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.9,6.7,54.0
"Block Group 2, Census Tract 9201, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920100> block group:2",272,117,,,,,,,,,,1450,47.9,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.0
"Block Group 2, Census Tract 9204, Giles County, Tennessee: Summary level: 150, state:47> county:055> tract:920400> block group:2",106,49,,,,,,,,,,1234,40.5,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
