,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9550, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955000> block group:2",298,122,,,,,,,,,,2197,38.4,-666666666.0,10.9,-666666666.0,-666666666.0,-666666666.0,36.0,38.4
"Block Group 2, Census Tract 9553, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955300> block group:2",155,88,,,,,,,,,,1272,48.5,-666666666.0,-666666666.0,70.2,-666666666.0,-666666666.0,53.2,48.5
"Block Group 3, Census Tract 9553, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955300> block group:3",163,81,,,,,,,,,,953,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.9,37.9
"Block Group 1, Census Tract 9551, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955100> block group:1",109,54,,,,,,,,,,770,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.6,44.9
"Block Group 1, Census Tract 9552, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955200> block group:1",231,112,,,,,,,,,,928,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.1,46.7
"Block Group 2, Census Tract 9552, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955200> block group:2",219,96,,,,,,,,,,1355,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3,44.5
"Block Group 3, Census Tract 9552, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955200> block group:3",228,106,,,,,,,,,,1560,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,43.5,37.3
"Block Group 1, Census Tract 9550, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955000> block group:1",179,96,,,,,,,,,,1003,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1,42.8
"Block Group 1, Census Tract 9553, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955300> block group:1",77,36,,,,,,,,,,1511,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4,37.8
"Block Group 4, Census Tract 9553, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955300> block group:4",215,108,,,,,,,,,,1367,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4,47.3
"Block Group 2, Census Tract 9551, Grundy County, Tennessee: Summary level: 150, state:47> county:061> tract:955100> block group:2",126,65,,,,,,,,,,608,59.2,65.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.6,59.4
