,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1012, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101200> block group:1",40,17,,,,,,,,,,554,59.3,-666666666.0,-666666666.0,24.9,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 2, Census Tract 1012, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101200> block group:2",116,48,,,,,,,,,,2367,39.1,-666666666.0,-666666666.0,43.1,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 4, Census Tract 1012, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101200> block group:4",86,36,,,,,,,,,,2271,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0
"Block Group 3, Census Tract 1012, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101200> block group:3",97,43,,,,,,,,,,1663,56.5,-666666666.0,-666666666.0,41.7,-666666666.0,-666666666.0,5.0,56.5
"Block Group 2, Census Tract 1006, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100600> block group:2",127,47,,,,,,,,,,1744,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 1006, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100600> block group:1",83,35,,,,,,,,,,1288,49.0,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 3, Census Tract 1006, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100600> block group:3",103,42,,,,,,,,,,1748,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.4,-666666666.0,45.2
"Block Group 4, Census Tract 1006, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100600> block group:4",66,30,,,,,,,,,,1358,35.8,9.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.6,35.8
"Block Group 5, Census Tract 1006, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100600> block group:5",51,20,,,,,,,,,,748,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 2, Census Tract 1005, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100500> block group:2",136,63,,,,,,,,,,1469,46.0,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.6,46.0
"Block Group 1, Census Tract 1005, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100500> block group:1",128,57,,,,,,,,,,1310,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.1,46.7
"Block Group 2, Census Tract 1009, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100900> block group:2",102,49,,,,,,,,,,1263,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.9,42.0
"Block Group 2, Census Tract 1001, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100100> block group:2",48,21,,,,,,,,,,986,29.3,64.9,-666666666.0,-666666666.0,-666666666.0,11.8,-666666666.0,29.3
"Block Group 3, Census Tract 1001, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100100> block group:3",81,35,,,,,,,,,,1375,33.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.2
"Block Group 1, Census Tract 1001, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100100> block group:1",104,40,,,,,,,,,,2651,37.2,23.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 1, Census Tract 1002, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100200> block group:1",84,42,,,,,,,,,,1666,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.9,49.5,43.2
"Block Group 3, Census Tract 1002, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100200> block group:3",92,43,,,,,,,,,,1848,41.9,33.2,-666666666.0,-666666666.0,-666666666.0,17.5,9.8,46.4
"Block Group 4, Census Tract 1007, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100700> block group:4",79,36,,,,,,,,,,1352,51.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 4, Census Tract 1010, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101000> block group:4",104,36,,,,,,,,,,1661,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 4, Census Tract 1004, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100400> block group:4",92,17,,,,,,,,,,1118,43.1,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.8,36.8
"Block Group 5, Census Tract 1004, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100400> block group:5",79,35,,,,,,,,,,1713,38.2,23.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,38.2
"Block Group 1, Census Tract 1003, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100300> block group:1",90,49,,,,,,,,,,1023,37.4,20.7,-666666666.0,-666666666.0,-666666666.0,72.3,-666666666.0,47.3
"Block Group 2, Census Tract 1003, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100300> block group:2",127,56,,,,,,,,,,1887,30.6,27.5,-666666666.0,-666666666.0,-666666666.0,31.7,23.1,41.3
"Block Group 1, Census Tract 1008, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100800> block group:1",145,61,,,,,,,,,,1754,40.9,57.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.6,42.4
"Block Group 4, Census Tract 1011, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101100> block group:4",72,33,,,,,,,,,,1240,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1,-666666666.0,47.9
"Block Group 1, Census Tract 1011, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101100> block group:1",42,18,,,,,,,,,,744,57.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.2
"Block Group 3, Census Tract 1011, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101100> block group:3",133,49,,,,,,,,,,2294,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 2, Census Tract 1008, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100800> block group:2",137,60,,,,,,,,,,1558,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.1,-666666666.0,36.3
"Block Group 3, Census Tract 1004, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100400> block group:3",68,24,,,,,,,,,,1066,45.6,61.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 1, Census Tract 1004, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100400> block group:1",38,22,,,,,,,,,,668,55.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.8
"Block Group 2, Census Tract 1011, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101100> block group:2",43,21,,,,,,,,,,791,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 1, Census Tract 1009, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100900> block group:1",152,53,,,,,,,,,,2074,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.6,-666666666.0,55.3
"Block Group 2, Census Tract 1004, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100400> block group:2",82,30,,,,,,,,,,1745,39.4,57.6,-666666666.0,-666666666.0,-666666666.0,17.7,-666666666.0,53.0
"Block Group 1, Census Tract 1007, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100700> block group:1",122,43,,,,,,,,,,2054,41.4,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.2,41.4
"Block Group 3, Census Tract 1007, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100700> block group:3",54,22,,,,,,,,,,917,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 2, Census Tract 1010, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101000> block group:2",30,16,,,,,,,,,,747,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 1, Census Tract 1010, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101000> block group:1",65,31,,,,,,,,,,1151,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 3, Census Tract 1010, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:101000> block group:3",108,45,,,,,,,,,,1962,39.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 3, Census Tract 1009, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100900> block group:3",207,81,,,,,,,,,,2270,38.9,39.8,-666666666.0,47.1,-666666666.0,16.8,4.9,38.9
"Block Group 4, Census Tract 1001, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100100> block group:4",82,41,,,,,,,,,,1681,50.6,46.3,-666666666.0,-666666666.0,-666666666.0,34.6,-666666666.0,50.6
"Block Group 2, Census Tract 1002, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100200> block group:2",70,38,,,,,,,,,,1509,33.9,55.6,-666666666.0,-666666666.0,-666666666.0,25.2,16.6,50.6
"Block Group 2, Census Tract 1007, Hamblen County, Tennessee: Summary level: 150, state:47> county:063> tract:100700> block group:2",83,37,,,,,,,,,,1711,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5,-666666666.0,41.9
