,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9755, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975500> block group:1",279,141,,,,,,,,,,1208,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5,38.3
"Block Group 3, Census Tract 9755, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975500> block group:3",108,52,,,,,,,,,,1273,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 2, Census Tract 9751, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975100> block group:2",134,61,,,,,,,,,,1613,37.8,43.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 3, Census Tract 9752, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975200> block group:3",71,38,,,,,,,,,,1300,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 9752, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975200> block group:2",80,36,,,,,,,,,,1846,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 2, Census Tract 9754, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975400> block group:2",45,27,,,,,,,,,,729,38.2,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.2,38.2
"Block Group 1, Census Tract 9754, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975400> block group:1",51,19,,,,,,,,,,902,26.5,55.6,-666666666.0,-666666666.0,-666666666.0,12.7,10.7,26.5
"Block Group 5, Census Tract 9754, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975400> block group:5",47,16,,,,,,,,,,721,46.2,63.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 4, Census Tract 9753, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975300> block group:4",155,58,,,,,,,,,,3178,42.9,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,42.7
"Block Group 1, Census Tract 9750, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975000> block group:1",123,54,,,,,,,,,,1059,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 3, Census Tract 9753, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975300> block group:3",81,40,,,,,,,,,,1562,45.7,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 9751, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975100> block group:1",272,128,,,,,,,,,,1813,46.4,31.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 2, Census Tract 9755, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975500> block group:2",224,105,,,,,,,,,,1374,43.1,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5,43.0
"Block Group 1, Census Tract 9752, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975200> block group:1",137,51,,,,,,,,,,2513,42.3,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.4,42.3
"Block Group 3, Census Tract 9754, Henderson County, Tennessee: Summary level: 150, state:47> county:077> tract:975400> block group:3",27,14,,,,,,,,,,527,26.3,23.6,-666666666.0,-666666666.0,-666666666.0,45.0,48.5,26.3
