,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1302, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130200> block group:1",105,89,,,,,,,,,,645,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2
"Block Group 1, Census Tract 1305, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130500> block group:1",105,46,,,,,,,,,,454,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
"Block Group 3, Census Tract 1305, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130500> block group:3",215,94,,,,,,,,,,1356,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,39.0
"Block Group 2, Census Tract 1303, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130300> block group:2",101,36,,,,,,,,,,1966,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2,34.9
"Block Group 2, Census Tract 1304, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130400> block group:2",131,63,,,,,,,,,,1483,49.8,68.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 3, Census Tract 1301, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130100> block group:3",135,69,,,,,,,,,,1204,53.5,-666666666.0,28.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 1, Census Tract 1301, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130100> block group:1",101,39,,,,,,,,,,2042,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.6
"Block Group 4, Census Tract 1301, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130100> block group:4",202,84,,,,,,,,,,1502,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 2, Census Tract 1301, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130100> block group:2",171,79,,,,,,,,,,1070,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 4, Census Tract 1303, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130300> block group:4",36,15,,,,,,,,,,448,60.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.6
"Block Group 5, Census Tract 1303, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130300> block group:5",48,26,,,,,,,,,,892,51.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 3, Census Tract 1303, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130300> block group:3",45,23,,,,,,,,,,1050,36.1,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.1
"Block Group 1, Census Tract 1303, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130300> block group:1",46,21,,,,,,,,,,786,40.6,7.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 1304, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130400> block group:1",90,47,,,,,,,,,,949,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3,-666666666.0,46.3
"Block Group 2, Census Tract 1302, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130200> block group:2",173,75,,,,,,,,,,1380,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3,38.0
"Block Group 2, Census Tract 1305, Humphreys County, Tennessee: Summary level: 150, state:47> county:085> tract:130500> block group:2",227,108,,,,,,,,,,1013,44.8,-666666666.0,-666666666.0,78.9,-666666666.0,-666666666.0,11.8,44.8
