,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9562, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956200> block group:1",127,90,,,,,,,,,,1221,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 1, Census Tract 9560, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956000> block group:1",151,79,,,,,,,,,,868,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 1, Census Tract 9563, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956300> block group:1",216,107,,,,,,,,,,2191,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.3,47.1
"Block Group 2, Census Tract 9563, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956300> block group:2",166,82,,,,,,,,,,1727,46.6,31.4,-666666666.0,-666666666.0,-666666666.0,5.8,-666666666.0,46.8
"Block Group 1, Census Tract 9561, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956100> block group:1",412,58,,,,,,,,,,3184,43.2,33.3,43.9,-666666666.0,-666666666.0,-666666666.0,37.3,43.2
"Block Group 2, Census Tract 9561, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956100> block group:2",99,50,,,,,,,,,,1227,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 3, Census Tract 9564, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956400> block group:3",106,43,,,,,,,,,,1808,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.8,44.2
"Block Group 4, Census Tract 9564, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956400> block group:4",67,25,,,,,,,,,,1288,37.4,19.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 3, Census Tract 9563, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956300> block group:3",131,66,,,,,,,,,,1764,57.8,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 2, Census Tract 9564, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956400> block group:2",55,25,,,,,,,,,,1064,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 1, Census Tract 9564, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956400> block group:1",63,32,,,,,,,,,,852,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 2, Census Tract 9562, Johnson County, Tennessee: Summary level: 150, state:47> county:091> tract:956200> block group:2",97,54,,,,,,,,,,823,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5
