,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 32, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003200> block group:1",127.0,71.0,,,,,,,,,,1564,35.1,40.3,-666666666.0,46.0,-666666666.0,-666666666.0,3.2,35.6
"Block Group 2, Census Tract 32, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003200> block group:2",116.0,68.0,,,,,,,,,,1495,37.8,33.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 1, Census Tract 40, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004000> block group:1",99.0,60.0,,,,,,,,,,2078,44.1,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 2, Census Tract 49, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004900> block group:2",189.0,80.0,,,,,,,,,,3713,36.6,-666666666.0,-666666666.0,43.4,-666666666.0,-666666666.0,6.5,36.6
"Block Group 3, Census Tract 20, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002000> block group:3",62.0,34.0,,,,,,,,,,869,19.8,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.8
"Block Group 1, Census Tract 20, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002000> block group:1",97.0,42.0,,,,,,,,,,1177,47.8,29.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.7,47.8
"Block Group 2, Census Tract 20, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002000> block group:2",103.0,57.0,,,,,,,,,,1399,25.7,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.7,25.7
"Block Group 2, Census Tract 26, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002600> block group:2",112.0,50.0,,,,,,,,,,1676,26.5,22.6,-666666666.0,25.0,-666666666.0,2.5,-666666666.0,32.2
"Block Group 1, Census Tract 26, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002600> block group:1",68.0,44.0,,,,,,,,,,758,46.3,42.7,-666666666.0,36.2,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 1, Census Tract 28, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002800> block group:1",131.0,54.0,,,,,,,,,,2931,41.2,25.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.7,41.4
"Block Group 2, Census Tract 28, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002800> block group:2",91.0,58.0,,,,,,,,,,1676,31.5,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6
"Block Group 1, Census Tract 31, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003100> block group:1",153.0,72.0,,,,,,,,,,1842,35.9,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,35.9
"Block Group 2, Census Tract 31, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003100> block group:2",94.0,44.0,,,,,,,,,,914,45.5,39.6,-666666666.0,50.7,-666666666.0,-666666666.0,36.3,43.9
"Block Group 2, Census Tract 34, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003400> block group:2",188.0,95.0,,,,,,,,,,2169,41.3,36.8,21.8,-666666666.0,-666666666.0,-666666666.0,9.8,41.6
"Block Group 1, Census Tract 34, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003400> block group:1",151.0,70.0,,,,,,,,,,1680,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8,38.1
"Block Group 1, Census Tract 50, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005000> block group:1",116.0,54.0,,,,,,,,,,1141,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 2, Census Tract 50, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005000> block group:2",112.0,52.0,,,,,,,,,,1160,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7
"Block Group 2, Census Tract 57.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005701> block group:2",103.0,43.0,,,,,,,,,,1101,49.1,-666666666.0,-666666666.0,21.5,-666666666.0,-666666666.0,12.1,49.1
"Block Group 3, Census Tract 57.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005701> block group:3",114.0,43.0,,,,,,,,,,1167,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.4,42.2
"Block Group 1, Census Tract 19, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001900> block group:1",207.0,97.0,,,,,,,,,,1854,36.8,31.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.2,48.7
"Block Group 2, Census Tract 23, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002300> block group:2",141.0,73.0,,,,,,,,,,1783,33.0,-666666666.0,-666666666.0,68.0,-666666666.0,-666666666.0,8.5,36.2
"Block Group 2, Census Tract 35, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003500> block group:2",71.0,38.0,,,,,,,,,,1759,59.4,9.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.7
"Block Group 3, Census Tract 35, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003500> block group:3",53.0,31.0,,,,,,,,,,1118,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 1, Census Tract 68, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006800> block group:1",94.0,42.0,,,,,,,,,,1674,29.9,25.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.7,35.1
"Block Group 2, Census Tract 68, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006800> block group:2",104.0,63.0,,,,,,,,,,1975,42.8,22.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1,42.8
"Block Group 1, Census Tract 62.03, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006203> block group:1",92.0,45.0,,,,,,,,,,1789,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 3, Census Tract 62.03, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006203> block group:3",74.0,35.0,,,,,,,,,,1347,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 1, Census Tract 16, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001600> block group:1",98.0,64.0,,,,,,,,,,1099,54.2,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 1, Census Tract 58.03, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005803> block group:1",271.0,119.0,,,,,,,,,,2517,42.8,-666666666.0,-666666666.0,33.8,-666666666.0,-666666666.0,43.8,43.1
"Block Group 2, Census Tract 40, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004000> block group:2",94.0,53.0,,,,,,,,,,1857,44.8,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.1
"Block Group 2, Census Tract 57.04, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005704> block group:2",100.0,52.0,,,,,,,,,,2111,46.8,22.9,-666666666.0,27.1,-666666666.0,-666666666.0,27.8,50.2
"Block Group 1, Census Tract 27, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002700> block group:1",106.0,41.0,,,,,,,,,,1192,44.0,31.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 2, Census Tract 27, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002700> block group:2",130.0,53.0,,,,,,,,,,1716,31.8,16.5,-666666666.0,11.3,-666666666.0,30.9,19.2,31.8
"Block Group 1, Census Tract 22, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002200> block group:1",100.0,54.0,,,,,,,,,,962,48.8,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 2, Census Tract 29, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002900> block group:2",147.0,62.0,,,,,,,,,,1891,28.6,19.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.8,28.5
"Block Group 1, Census Tract 37, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003700> block group:1",110.0,79.0,,,,,,,,,,1598,38.1,45.0,20.4,30.4,-666666666.0,-666666666.0,40.7,43.2
"Block Group 2, Census Tract 37, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003700> block group:2",23.0,15.0,,,,,,,,,,288,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 2, Census Tract 43, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004300> block group:2",122.0,59.0,,,,,,,,,,1645,34.9,15.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 1, Census Tract 43, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004300> block group:1",100.0,50.0,,,,,,,,,,1160,45.5,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 2, Census Tract 17, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001700> block group:2",97.0,50.0,,,,,,,,,,1072,40.3,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.8,44.6
"Block Group 2, Census Tract 18, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001800> block group:2",77.0,47.0,,,,,,,,,,931,52.6,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 1, Census Tract 44.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004401> block group:1",130.0,62.0,,,,,,,,,,2398,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.6
"Block Group 3, Census Tract 15, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001500> block group:3",65.0,29.0,,,,,,,,,,831,48.4,21.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 1, Census Tract 24, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002400> block group:1",170.0,77.0,,,,,,,,,,2145,29.0,16.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,28.9
"Block Group 2, Census Tract 24, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002400> block group:2",159.0,96.0,,,,,,,,,,2014,39.1,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.4,40.5
"Block Group 1, Census Tract 33, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003300> block group:1",329.0,152.0,,,,,,,,,,2124,51.2,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.4,51.2
"Block Group 1, Census Tract 47, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004700> block group:1",199.0,92.0,,,,,,,,,,2196,34.8,24.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.9,35.0
"Block Group 2, Census Tract 47, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004700> block group:2",172.0,78.0,,,,,,,,,,2071,38.4,11.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8,38.7
"Block Group 1, Census Tract 51, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005100> block group:1",247.0,90.0,,,,,,,,,,4276,43.5,54.2,-666666666.0,31.5,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 2, Census Tract 51, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005100> block group:2",83.0,49.0,,,,,,,,,,1523,38.8,-666666666.0,-666666666.0,44.7,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 2, Census Tract 52.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005201> block group:2",204.0,17.0,,,,,,,,,,1804,33.1,27.3,56.4,-666666666.0,-666666666.0,23.7,-666666666.0,33.4
"Block Group 3, Census Tract 52.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005201> block group:3",141.0,63.0,,,,,,,,,,2550,40.6,40.5,-666666666.0,16.1,-666666666.0,-666666666.0,9.8,40.5
"Block Group 1, Census Tract 56.02, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005602> block group:1",191.0,84.0,,,,,,,,,,2270,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.7,44.7
"Block Group 2, Census Tract 56.02, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005602> block group:2",158.0,64.0,,,,,,,,,,2108,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.8,41.2
"Block Group 3, Census Tract 14, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001400> block group:3",61.0,33.0,,,,,,,,,,987,35.1,24.7,-666666666.0,-666666666.0,-666666666.0,14.4,-666666666.0,35.1
"Block Group 1, Census Tract 14, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001400> block group:1",73.0,35.0,,,,,,,,,,1035,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,-666666666.0,47.0
"Block Group 2, Census Tract 14, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001400> block group:2",45.0,18.0,,,,,,,,,,829,32.9,17.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 1, Census Tract 21, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002100> block group:1",119.0,51.0,,,,,,,,,,1664,27.3,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3,29.5
"Block Group 2, Census Tract 21, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002100> block group:2",104.0,52.0,,,,,,,,,,1195,58.5,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.1,58.5
"Block Group 3, Census Tract 30, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003000> block group:3",71.0,43.0,,,,,,,,,,1423,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.1,51.6
"Block Group 1, Census Tract 30, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003000> block group:1",76.0,40.0,,,,,,,,,,1205,51.9,69.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 2, Census Tract 30, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:003000> block group:2",67.0,39.0,,,,,,,,,,1737,35.3,20.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.3
"Block Group 2, Census Tract 41, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004100> block group:2",216.0,99.0,,,,,,,,,,2095,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 1, Census Tract 41, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004100> block group:1",172.0,88.0,,,,,,,,,,2286,39.9,26.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.5,39.9
"Block Group 2, Census Tract 42, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004200> block group:2",180.0,85.0,,,,,,,,,,1908,43.6,-666666666.0,22.2,-666666666.0,-666666666.0,-666666666.0,32.1,43.5
"Block Group 2, Census Tract 48, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004800> block group:2",63.0,30.0,,,,,,,,,,1065,44.3,-666666666.0,-666666666.0,41.4,-666666666.0,31.4,-666666666.0,43.5
"Block Group 3, Census Tract 48, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004800> block group:3",143.0,63.0,,,,,,,,,,2666,36.4,33.0,-666666666.0,40.3,-666666666.0,6.1,-666666666.0,36.4
"Block Group 1, Census Tract 49, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004900> block group:1",116.0,54.0,,,,,,,,,,1997,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.1,49.6
"Block Group 2, Census Tract 16, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:001600> block group:2",147.0,77.0,,,,,,,,,,1831,45.2,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 2, Census Tract 22, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:002200> block group:2",166.0,88.0,,,,,,,,,,1961,41.4,17.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.6,41.5
"Block Group 1, Census Tract 45, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:004500> block group:1",85.0,44.0,,,,,,,,,,1687,29.1,28.8,-666666666.0,29.4,-666666666.0,10.8,3.5,30.4
"Block Group 2, Census Tract 52.02, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005202> block group:2",146.0,68.0,,,,,,,,,,1901,45.3,40.7,-666666666.0,50.4,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 2, Census Tract 59.03, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005903> block group:2",130.0,60.0,,,,,,,,,,1660,31.6,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,31.6
"Block Group 1, Census Tract 59.03, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005903> block group:1",159.0,63.0,,,,,,,,,,2298,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.4,34.7
"Block Group 2, Census Tract 58.08, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005808> block group:2",137.0,56.0,,,,,,,,,,2502,39.7,46.5,-666666666.0,35.5,-666666666.0,16.8,-666666666.0,41.1
"Block Group 1, Census Tract 58.07, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:005807> block group:1",225.0,94.0,,,,,,,,,,2628,38.5,56.5,-666666666.0,71.2,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 62.05, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006205> block group:1",160.0,69.0,,,,,,,,,,1973,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 2, Census Tract 62.05, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006205> block group:2",216.0,79.0,,,,,,,,,,2501,36.1,62.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.2,36.3
"Block Group 2, Census Tract 63.02, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006302> block group:2",83.0,36.0,,,,,,,,,,898,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 1, Census Tract 63.02, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006302> block group:1",156.0,63.0,,,,,,,,,,1742,41.1,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 2, Census Tract 65.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006501> block group:2",154.0,68.0,,,,,,,,,,1772,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.9,48.8
"Block Group 1, Census Tract 65.01, Knox County, Tennessee: Summary level: 150, state:47> county:093> tract:006501> block group:1",89.0,43.0,,,,,,,,,,1216,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
