,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9751, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975100> block group:1",226,106,,,,,,,,,,1142,45.1,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.5,45.1
"Block Group 2, Census Tract 9751, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975100> block group:2",132,60,,,,,,,,,,1138,38.8,62.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7,38.6
"Block Group 2, Census Tract 9750, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975000> block group:2",84,43,,,,,,,,,,545,46.2,58.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 3, Census Tract 9755, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975500> block group:3",107,48,,,,,,,,,,1370,52.0,-666666666.0,6.2,-666666666.0,-666666666.0,-666666666.0,53.9,52.1
"Block Group 2, Census Tract 9755, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975500> block group:2",70,34,,,,,,,,,,1066,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.3,54.7
"Block Group 5, Census Tract 9753, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975300> block group:5",84,43,,,,,,,,,,2033,47.4,21.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.0,41.0
"Block Group 1, Census Tract 9753, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975300> block group:1",31,14,,,,,,,,,,809,33.1,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.6
"Block Group 2, Census Tract 9757, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975700> block group:2",118,52,,,,,,,,,,1529,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5,48.5
"Block Group 3, Census Tract 9754, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975400> block group:3",111,60,,,,,,,,,,1041,58.6,45.3,65.7,-666666666.0,-666666666.0,-666666666.0,41.1,58.6
"Block Group 1, Census Tract 9754, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975400> block group:1",104,55,,,,,,,,,,1079,49.1,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 2, Census Tract 9752, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975200> block group:2",148,69,,,,,,,,,,1065,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,45.6
"Block Group 1, Census Tract 9752, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975200> block group:1",157,57,,,,,,,,,,1084,46.3,9.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 1, Census Tract 9756.02, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975602> block group:1",148,62,,,,,,,,,,1574,51.6,28.5,-666666666.0,-666666666.0,-666666666.0,22.6,7.1,51.6
"Block Group 2, Census Tract 9754, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975400> block group:2",189,45,,,,,,,,,,1981,31.2,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,31.5
"Block Group 1, Census Tract 9750, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975000> block group:1",179,85,,,,,,,,,,1115,47.0,60.0,6.5,-666666666.0,-666666666.0,-666666666.0,26.3,47.0
"Block Group 1, Census Tract 9755, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975500> block group:1",130,56,,,,,,,,,,2101,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4,41.4
"Block Group 4, Census Tract 9753, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975300> block group:4",42,23,,,,,,,,,,695,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.1
"Block Group 2, Census Tract 9753, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975300> block group:2",40,23,,,,,,,,,,713,27.6,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.1,39.6
"Block Group 1, Census Tract 9757, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975700> block group:1",173,83,,,,,,,,,,1784,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6,40.7
"Block Group 3, Census Tract 9753, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975300> block group:3",88,47,,,,,,,,,,1709,50.4,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 1, Census Tract 9756.01, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975601> block group:1",145,62,,,,,,,,,,2570,34.4,31.2,-666666666.0,-666666666.0,-666666666.0,25.3,12.0,34.2
"Block Group 2, Census Tract 9756.01, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975601> block group:2",153,62,,,,,,,,,,1912,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 3, Census Tract 9756.01, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975601> block group:3",60,29,,,,,,,,,,788,43.9,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.9,50.8
"Block Group 2, Census Tract 9756.02, Lincoln County, Tennessee: Summary level: 150, state:47> county:103> tract:975602> block group:2",212,83,,,,,,,,,,2707,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.8,15.9,30.9
