,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 9703, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970300> block group:5",93,43,,,,,,,,,,2255,32.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 1, Census Tract 9703, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970300> block group:1",155,50,,,,,,,,,,2759,38.2,39.5,-666666666.0,-666666666.0,-666666666.0,21.9,-666666666.0,37.8
"Block Group 2, Census Tract 9703, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970300> block group:2",40,19,,,,,,,,,,881,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
"Block Group 1, Census Tract 9701, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970100> block group:1",132,63,,,,,,,,,,1796,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 3, Census Tract 9701, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970100> block group:3",302,133,,,,,,,,,,1631,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3,41.6
"Block Group 2, Census Tract 9702, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970200> block group:2",104,42,,,,,,,,,,1845,39.2,-666666666.0,-666666666.0,25.5,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 3, Census Tract 9702, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970200> block group:3",148,54,,,,,,,,,,2535,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.6
"Block Group 1, Census Tract 9702, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970200> block group:1",75,30,,,,,,,,,,1329,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 3, Census Tract 9703, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970300> block group:3",92,36,,,,,,,,,,1767,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.8
"Block Group 4, Census Tract 9703, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970300> block group:4",62,26,,,,,,,,,,1149,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 2, Census Tract 9701, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970100> block group:2",104,53,,,,,,,,,,1098,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 1, Census Tract 9704, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970400> block group:1",123,65,,,,,,,,,,1369,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 2, Census Tract 9704, Macon County, Tennessee: Summary level: 150, state:47> county:111> tract:970400> block group:2",194,83,,,,,,,,,,2347,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.6
