,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1103, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110300> block group:1",240,108,,,,,,,,,,1420,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0,43.7
"Block Group 3, Census Tract 1103, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110300> block group:3",525,0,,,,,,,,,,2746,36.9,29.4,-666666666.0,-666666666.0,-666666666.0,22.8,32.3,36.9
"Block Group 3, Census Tract 1104, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110400> block group:3",89,39,,,,,,,,,,867,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 1, Census Tract 1104, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110400> block group:1",158,67,,,,,,,,,,1745,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 1102, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110200> block group:1",143,60,,,,,,,,,,1606,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 2, Census Tract 1105, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110500> block group:2",145,63,,,,,,,,,,1258,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.8,40.6
"Block Group 2, Census Tract 1103, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110300> block group:2",163,74,,,,,,,,,,1076,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.2,36.0
"Block Group 2, Census Tract 1104, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110400> block group:2",132,56,,,,,,,,,,1762,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,41.1
"Block Group 2, Census Tract 1102, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110200> block group:2",149,69,,,,,,,,,,1560,48.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.4,48.7
"Block Group 4, Census Tract 1105, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110500> block group:4",111,41,,,,,,,,,,1099,46.0,20.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 2, Census Tract 1101, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110100> block group:2",151,63,,,,,,,,,,1378,46.2,65.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,67.5,46.2
"Block Group 1, Census Tract 1101, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110100> block group:1",258,131,,,,,,,,,,1417,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.4,47.5
"Block Group 3, Census Tract 1105, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110500> block group:3",154,61,,,,,,,,,,1080,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.5
"Block Group 1, Census Tract 1105, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110500> block group:1",129,52,,,,,,,,,,1521,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 4, Census Tract 1103, Morgan County, Tennessee: Summary level: 150, state:47> county:129> tract:110300> block group:4",142,37,,,,,,,,,,1259,36.4,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
