,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9751, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975100> block group:2",135,61,,,,,,,,,,1812,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 3, Census Tract 9751, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975100> block group:3",97,47,,,,,,,,,,767,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.7,53.4
"Block Group 2, Census Tract 9753, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975300> block group:2",112,44,,,,,,,,,,1515,55.1,54.9,-666666666.0,-666666666.0,-666666666.0,18.1,-666666666.0,55.1
"Block Group 4, Census Tract 9753, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975300> block group:4",116,45,,,,,,,,,,1925,29.0,29.7,6.3,-666666666.0,-666666666.0,-666666666.0,42.4,29.0
"Block Group 3, Census Tract 9753, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975300> block group:3",268,114,,,,,,,,,,1960,36.4,-666666666.0,9.4,-666666666.0,-666666666.0,-666666666.0,0.0,36.4
"Block Group 1, Census Tract 9753, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975300> block group:1",39,17,,,,,,,,,,637,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 2, Census Tract 9752, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975200> block group:2",101,39,,,,,,,,,,1906,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.1,-666666666.0,46.7
"Block Group 1, Census Tract 9752, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975200> block group:1",120,45,,,,,,,,,,2465,43.3,5.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0,43.3
"Block Group 3, Census Tract 9752, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975200> block group:3",88,38,,,,,,,,,,1566,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 1, Census Tract 9750, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975000> block group:1",48,26,,,,,,,,,,851,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7
"Block Group 2, Census Tract 9750, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975000> block group:2",126,70,,,,,,,,,,2294,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 3, Census Tract 9750, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975000> block group:3",152,73,,,,,,,,,,2001,31.6,65.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,31.6
"Block Group 1, Census Tract 9754.01, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975401> block group:1",59,27,,,,,,,,,,1285,40.5,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 3, Census Tract 9754.01, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975401> block group:3",75,25,,,,,,,,,,1405,31.7,30.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.7
"Block Group 2, Census Tract 9754.02, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975402> block group:2",189,82,,,,,,,,,,2299,46.4,58.1,-666666666.0,-666666666.0,-666666666.0,12.2,-666666666.0,48.6
"Block Group 2, Census Tract 9754.01, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975401> block group:2",164,30,,,,,,,,,,2062,22.5,21.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.1
"Block Group 1, Census Tract 9754.02, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975402> block group:1",69,29,,,,,,,,,,821,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.7,47.7
"Block Group 4, Census Tract 9754.01, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975401> block group:4",111,45,,,,,,,,,,2826,38.0,42.4,-666666666.0,-666666666.0,-666666666.0,22.3,12.9,39.3
"Block Group 1, Census Tract 9751, Rhea County, Tennessee: Summary level: 150, state:47> county:143> tract:975100> block group:1",198,86,,,,,,,,,,1997,45.2,67.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
