,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 304, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030400> block group:1",75,36,,,,,,,,,,1078,51.0,9.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 3, Census Tract 304, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030400> block group:3",76,32,,,,,,,,,,1478,50.0,18.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 5, Census Tract 304, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030400> block group:5",115,54,,,,,,,,,,1896,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 304, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030400> block group:2",37,19,,,,,,,,,,858,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 5, Census Tract 302.02, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030202> block group:5",106,51,,,,,,,,,,1933,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 3, Census Tract 305, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030500> block group:3",80,47,,,,,,,,,,1019,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 1, Census Tract 305, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030500> block group:1",156,52,,,,,,,,,,2019,47.3,29.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 4, Census Tract 302.02, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030202> block group:4",40,29,,,,,,,,,,837,59.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.4
"Block Group 1, Census Tract 308, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030800> block group:1",40,30,,,,,,,,,,1067,52.5,62.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 3, Census Tract 308, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030800> block group:3",98,38,,,,,,,,,,1561,52.8,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 3, Census Tract 303, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030300> block group:3",90,50,,,,,,,,,,1369,54.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.4
"Block Group 1, Census Tract 303, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030300> block group:1",68,30,,,,,,,,,,1108,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.0
"Block Group 2, Census Tract 303, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030300> block group:2",118,49,,,,,,,,,,2175,41.4,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.2
"Block Group 4, Census Tract 303, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030300> block group:4",89,41,,,,,,,,,,1396,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 2, Census Tract 309, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030900> block group:2",57,28,,,,,,,,,,840,50.6,57.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 1, Census Tract 309, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030900> block group:1",103,43,,,,,,,,,,1892,44.4,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 4, Census Tract 309, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030900> block group:4",67,33,,,,,,,,,,929,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.5,49.5
"Block Group 3, Census Tract 309, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030900> block group:3",48,21,,,,,,,,,,1000,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 5, Census Tract 309, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030900> block group:5",83,33,,,,,,,,,,1263,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 1, Census Tract 307, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030700> block group:1",91,43,,,,,,,,,,1248,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 1, Census Tract 301, Roane County, Tennessee: Summary level: 150, state:47> county:145> tract:030100> block group:1",151,64,,,,,,,,,,1447,49.4,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
