,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 810, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:081000> block group:4",40,33,,,,,,,,,,1150,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 3, Census Tract 810, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:081000> block group:3",56,42,,,,,,,,,,1293,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 3, Census Tract 805, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080500> block group:3",77,33,,,,,,,,,,2044,34.7,-666666666.0,-666666666.0,13.8,-666666666.0,21.3,-666666666.0,34.7
"Block Group 3, Census Tract 807.00, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080700> block group:3",105,44,,,,,,,,,,2151,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6,-666666666.0,43.2
"Block Group 2, Census Tract 807.00, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080700> block group:2",108,114,,,,,,,,,,1189,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 1, Census Tract 811.02, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:081102> block group:1",111,129,,,,,,,,,,2247,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 811.02, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:081102> block group:2",132,112,,,,,,,,,,1759,58.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.9
"Block Group 4, Census Tract 807.00, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080700> block group:4",133,92,,,,,,,,,,1377,57.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.2
"Block Group 1, Census Tract 801.02, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080102> block group:1",167,68,,,,,,,,,,3349,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.1,43.2
"Block Group 2, Census Tract 801.02, Sevier County, Tennessee: Summary level: 150, state:47> county:155> tract:080102> block group:2",97,48,,,,,,,,,,1881,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.4,41.5
