,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9801, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:980100> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 1107, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110700> block group:1",282,152,,,,,,,,,,2232,41.1,-666666666.0,-666666666.0,80.3,-666666666.0,14.5,3.7,41.7
"Block Group 2, Census Tract 1107, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110700> block group:2",270,124,,,,,,,,,,1286,45.3,68.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 1, Census Tract 9802, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:980200> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 1107, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110700> block group:3",124,58,,,,,,,,,,1307,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 1, Census Tract 1102, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110200> block group:1",91,44,,,,,,,,,,1672,51.4,-666666666.0,52.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 4, Census Tract 1102, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110200> block group:4",63,28,,,,,,,,,,1414,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.1
"Block Group 3, Census Tract 1102, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110200> block group:3",70,37,,,,,,,,,,1482,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.9
"Block Group 2, Census Tract 1102, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110200> block group:2",47,28,,,,,,,,,,1020,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 1, Census Tract 1106, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110600> block group:1",179,75,,,,,,,,,,2162,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 1106, Stewart County, Tennessee: Summary level: 150, state:47> county:161> tract:110600> block group:2",182,101,,,,,,,,,,711,51.2,23.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.9,51.2
