,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 606, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:060600> block group:1",95,12,,,,,,,,,,1306,22.7,24.5,-666666666.0,28.4,-666666666.0,-666666666.0,31.2,22.7
"Block Group 1, Census Tract 610, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061000> block group:1",76,43,,,,,,,,,,975,36.7,45.8,65.3,-666666666.0,-666666666.0,30.9,11.5,44.7
"Block Group 3, Census Tract 610, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061000> block group:3",68,27,,,,,,,,,,798,27.8,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.1
"Block Group 2, Census Tract 608, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:060800> block group:2",77,35,,,,,,,,,,711,36.2,22.7,-666666666.0,6.7,-666666666.0,-666666666.0,19.4,37.1
"Block Group 3, Census Tract 608, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:060800> block group:3",116,60,,,,,,,,,,1674,31.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.7,31.4
"Block Group 2, Census Tract 612, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061200> block group:2",73,38,,,,,,,,,,864,39.2,62.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 612, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061200> block group:1",224,111,,,,,,,,,,2340,43.4,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.7,43.4
"Block Group 2, Census Tract 611, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061100> block group:2",69,27,,,,,,,,,,1333,49.2,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2
"Block Group 4, Census Tract 618, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061800> block group:4",67,31,,,,,,,,,,1261,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 3, Census Tract 618, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061800> block group:3",59,27,,,,,,,,,,1359,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 1, Census Tract 618, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061800> block group:1",170,75,,,,,,,,,,2820,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.7,-666666666.0,44.9
"Block Group 2, Census Tract 618, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061800> block group:2",52,22,,,,,,,,,,963,45.0,-666666666.0,-666666666.0,37.6,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 3, Census Tract 615, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061500> block group:3",106,50,,,,,,,,,,1676,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 2, Census Tract 615, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061500> block group:2",109,43,,,,,,,,,,2850,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 1, Census Tract 615, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:061500> block group:1",165,78,,,,,,,,,,3063,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 3, Census Tract 606, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:060600> block group:3",51,25,,,,,,,,,,983,26.8,-666666666.0,-666666666.0,36.8,-666666666.0,-666666666.0,-666666666.0,26.8
"Block Group 4, Census Tract 606, Washington County, Tennessee: Summary level: 150, state:47> county:179> tract:060600> block group:4",80,40,,,,,,,,,,1482,34.5,15.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.4
