,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9502, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950200> block group:1",134,57,,,,,,,,,,1395,39.5,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 3, Census Tract 9502, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950200> block group:3",71,36,,,,,,,,,,1179,46.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2,46.9
"Block Group 4, Census Tract 9502, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950200> block group:4",135,64,,,,,,,,,,1244,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8,51.0
"Block Group 2, Census Tract 9502, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950200> block group:2",181,67,,,,,,,,,,1835,46.0,27.2,-666666666.0,18.0,-666666666.0,-666666666.0,41.4,46.5
"Block Group 1, Census Tract 9504, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950400> block group:1",112,47,,,,,,,,,,1082,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 2, Census Tract 9504, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950400> block group:2",85,38,,,,,,,,,,946,45.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.7
"Block Group 3, Census Tract 9504, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950400> block group:3",82,43,,,,,,,,,,872,51.4,-666666666.0,-666666666.0,17.8,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 3, Census Tract 9503, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950300> block group:3",106,44,,,,,,,,,,1144,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,-666666666.0,42.0
"Block Group 2, Census Tract 9503, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950300> block group:2",304,148,,,,,,,,,,1157,40.1,-666666666.0,5.6,33.5,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 9503, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950300> block group:1",139,56,,,,,,,,,,1648,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 9501, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950100> block group:2",408,39,,,,,,,,,,2347,40.9,36.1,54.2,-666666666.0,-666666666.0,27.7,-666666666.0,42.1
"Block Group 1, Census Tract 9501, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950100> block group:1",149,70,,,,,,,,,,1463,45.0,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 3, Census Tract 9501, Wayne County, Tennessee: Summary level: 150, state:47> county:181> tract:950100> block group:3",121,76,,,,,,,,,,585,43.4,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,43.4
