,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9350, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935000> block group:3",160,74,,,,,,,,,,1743,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 2, Census Tract 9352, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935200> block group:2",147,64,,,,,,,,,,1580,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 3, Census Tract 9352, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935200> block group:3",126,60,,,,,,,,,,1243,45.5,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,1.6,45.2
"Block Group 1, Census Tract 9351, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935100> block group:1",68,30,,,,,,,,,,1125,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 2, Census Tract 9355, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935500> block group:2",304,130,,,,,,,,,,1760,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8,39.8
"Block Group 2, Census Tract 9350, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935000> block group:2",123,56,,,,,,,,,,1222,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 1, Census Tract 9355, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935500> block group:1",176,74,,,,,,,,,,1667,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 1, Census Tract 9350, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935000> block group:1",85,38,,,,,,,,,,875,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 9352, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935200> block group:1",98,43,,,,,,,,,,1080,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.8
"Block Group 1, Census Tract 9353, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935300> block group:1",101,46,,,,,,,,,,2047,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 3, Census Tract 9353, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935300> block group:3",126,52,,,,,,,,,,2187,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 2, Census Tract 9353, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935300> block group:2",84,28,,,,,,,,,,1298,36.5,37.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.1,34.0
"Block Group 2, Census Tract 9354, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935400> block group:2",92,44,,,,,,,,,,1251,44.9,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 3, Census Tract 9354, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935400> block group:3",93,54,,,,,,,,,,986,45.8,63.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.8,45.8
"Block Group 1, Census Tract 9354, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935400> block group:1",144,64,,,,,,,,,,1657,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 2, Census Tract 9351, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935100> block group:2",113,52,,,,,,,,,,2219,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.3,39.5
"Block Group 3, Census Tract 9351, White County, Tennessee: Summary level: 150, state:47> county:185> tract:935100> block group:3",114,50,,,,,,,,,,2312,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
