,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 4, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000400> block group:1",23,13,,,,,,,,,,283,57.7,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.7
"Block Group 3, Census Tract 4, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000400> block group:3",53,25,,,,,,,,,,1645,35.3,28.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 3, Census Tract 5, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000500> block group:3",53,34,,,,,,,,,,739,27.6,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
"Block Group 2, Census Tract 5, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000500> block group:2",136,71,,,,,,,,,,1793,48.4,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 4, Census Tract 5, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000500> block group:4",38,19,,,,,,,,,,479,24.1,23.6,-666666666.0,-666666666.0,-666666666.0,21.8,-666666666.0,24.9
"Block Group 4, Census Tract 6, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000600> block group:4",159,35,,,,,,,,,,1706,29.0,31.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 1, Census Tract 13, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:001300> block group:1",233,107,,,,,,,,,,2067,40.5,17.6,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 2, Census Tract 13, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:001300> block group:2",99,53,,,,,,,,,,2077,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.4
"Block Group 3, Census Tract 9.01, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000901> block group:3",71,28,,,,,,,,,,1780,50.4,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0,68.2
"Block Group 1, Census Tract 3.01, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000301> block group:1",118,48,,,,,,,,,,1567,55.7,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 3, Census Tract 3.01, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000301> block group:3",128,58,,,,,,,,,,1997,38.5,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 3, Census Tract 10.01, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:001001> block group:3",212,23,,,,,,,,,,1826,55.2,47.5,-666666666.0,-666666666.0,-666666666.0,13.4,-666666666.0,57.6
"Block Group 1, Census Tract 10.01, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:001001> block group:1",194,78,,,,,,,,,,1795,35.6,44.5,-666666666.0,-666666666.0,-666666666.0,21.6,4.0,39.3
"Block Group 2, Census Tract 3.02, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000302> block group:2",193,81,,,,,,,,,,1955,49.2,21.8,-666666666.0,-666666666.0,-666666666.0,41.8,-666666666.0,50.5
"Block Group 1, Census Tract 3.02, Angelina County, Texas: Summary level: 150, state:48> county:005> tract:000302> block group:1",204,70,,,,,,,,,,2715,27.8,14.1,11.8,-666666666.0,-666666666.0,35.6,-666666666.0,32.4
