,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9501, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950100> block group:2",65,44,,,,,,,,,,1691,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.4,51.6
"Block Group 3, Census Tract 9501, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950100> block group:3",160,104,,,,,,,,,,1797,53.0,-666666666.0,-666666666.0,40.2,-666666666.0,22.2,23.9,57.6
"Block Group 3, Census Tract 9505, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950500> block group:3",26,16,,,,,,,,,,532,60.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.3
"Block Group 2, Census Tract 9505, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950500> block group:2",25,19,,,,,,,,,,687,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0,-666666666.0,31.5
"Block Group 1, Census Tract 9503, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950300> block group:1",164,65,,,,,,,,,,3134,51.6,23.5,-666666666.0,46.9,-666666666.0,-666666666.0,13.2,53.2
"Block Group 2, Census Tract 9503, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950300> block group:2",81,25,,,,,,,,,,1710,36.4,52.1,-666666666.0,-666666666.0,-666666666.0,37.3,2.4,44.7
"Block Group 3, Census Tract 9503, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950300> block group:3",66,31,,,,,,,,,,1736,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.3,53.5
"Block Group 2, Census Tract 9504, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950400> block group:2",56,28,,,,,,,,,,948,40.7,18.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 3, Census Tract 9504, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950400> block group:3",104,45,,,,,,,,,,1325,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8,19.1,53.1
"Block Group 2, Census Tract 9502, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950200> block group:2",105,78,,,,,,,,,,677,65.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.4,66.9
"Block Group 4, Census Tract 9505, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950500> block group:4",98,48,,,,,,,,,,2356,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9,52.2
"Block Group 5, Census Tract 9501, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950100> block group:5",69,66,,,,,,,,,,393,58.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8,61.3
"Block Group 4, Census Tract 9501, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950100> block group:4",16,13,,,,,,,,,,203,75.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,75.3
"Block Group 1, Census Tract 9505, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950500> block group:1",105,70,,,,,,,,,,2758,53.4,-666666666.0,36.6,-666666666.0,-666666666.0,-666666666.0,22.0,63.8
"Block Group 4, Census Tract 9503, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950300> block group:4",29,19,,,,,,,,,,651,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0,-666666666.0,54.1
"Block Group 1, Census Tract 9504, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950400> block group:1",137,68,,,,,,,,,,1724,32.8,9.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,49.5
"Block Group 1, Census Tract 9502, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950200> block group:1",71,83,,,,,,,,,,444,70.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.4,70.6
"Block Group 0, Census Tract 9900, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:990000> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9501, Aransas County, Texas: Summary level: 150, state:48> county:007> tract:950100> block group:1",68,55,,,,,,,,,,1526,60.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.4
