,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9508.01, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950801> block group:3",97,35,,,,,,,,,,2856,32.7,-666666666.0,27.3,-666666666.0,-666666666.0,23.1,13.6,58.8
"Block Group 3, Census Tract 9508.02, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950802> block group:3",64,27,,,,,,,,,,1757,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 1, Census Tract 9508.02, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950802> block group:1",163,53,,,,,,,,,,3672,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,-666666666.0,55.8
"Block Group 2, Census Tract 9505.02, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950502> block group:2",103,42,,,,,,,,,,1944,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,-666666666.0,43.2
"Block Group 3, Census Tract 9505.02, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950502> block group:3",46,26,,,,,,,,,,930,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 3, Census Tract 9504, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950400> block group:3",40,22,,,,,,,,,,516,57.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.3
"Block Group 4, Census Tract 9507, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950700> block group:4",141,61,,,,,,,,,,1726,35.3,30.3,-666666666.0,-666666666.0,-666666666.0,45.3,-666666666.0,35.2
"Block Group 1, Census Tract 9507, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950700> block group:1",77,30,,,,,,,,,,967,51.4,-666666666.0,-666666666.0,32.1,-666666666.0,24.9,-666666666.0,58.2
"Block Group 1, Census Tract 9504, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950400> block group:1",78,31,,,,,,,,,,1995,22.6,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0
"Block Group 5, Census Tract 9503, Bastrop County, Texas: Summary level: 150, state:48> county:021> tract:950300> block group:5",98,39,,,,,,,,,,3064,40.7,62.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
