,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 6606.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660601> block group:4",61.0,20.0,,,,,,,,,,2070,38.8,35.1,-666666666.0,40.7,-666666666.0,-666666666.0,42.0,39.3
"Block Group 4, Census Tract 6616.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661601> block group:4",230.0,95.0,,,,,,,,,,3130,34.6,35.0,-666666666.0,-666666666.0,-666666666.0,30.6,-666666666.0,37.9
"Block Group 3, Census Tract 6616.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661601> block group:3",188.0,87.0,,,,,,,,,,729,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.7,-666666666.0,51.8
"Block Group 1, Census Tract 6616.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661601> block group:1",39.0,17.0,,,,,,,,,,842,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.9
"Block Group 2, Census Tract 6615.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661501> block group:2",109.0,38.0,,,,,,,,,,1587,28.8,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 4, Census Tract 6609, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660900> block group:4",82.0,26.0,,,,,,,,,,1812,27.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.1,-666666666.0,43.1
"Block Group 3, Census Tract 6645.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:664501> block group:3",63.0,41.0,,,,,,,,,,761,59.9,20.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.3
"Block Group 1, Census Tract 6645.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:664501> block group:1",230.0,97.0,,,,,,,,,,1616,34.3,-666666666.0,21.3,-666666666.0,-666666666.0,34.8,-666666666.0,50.5
"Block Group 5, Census Tract 6645.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:664501> block group:5",141.0,58.0,,,,,,,,,,761,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 1, Census Tract 6616.02, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661602> block group:1",72.0,28.0,,,,,,,,,,987,37.6,58.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 1, Census Tract 6615.02, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661502> block group:1",231.0,90.0,,,,,,,,,,3002,39.8,28.1,13.5,38.3,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 4, Census Tract 6645.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:664501> block group:4",75.0,41.0,,,,,,,,,,1185,51.8,18.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.1
"Block Group 0, Census Tract 9900, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:990000> block group:0",0.0,0.0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 6602, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660200> block group:3",163.0,60.0,,,,,,,,,,2484,41.7,17.9,-666666666.0,34.9,-666666666.0,38.7,16.6,42.0
"Block Group 3, Census Tract 6607.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660701> block group:3",47.0,14.0,,,,,,,,,,1332,38.4,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,70.0,39.1
"Block Group 1, Census Tract 6607.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660701> block group:1",142.0,53.0,,,,,,,,,,5182,29.1,29.6,-666666666.0,33.6,-666666666.0,-666666666.0,-666666666.0,37.1
"Block Group 2, Census Tract 6607.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660701> block group:2",45.0,21.0,,,,,,,,,,1822,33.2,26.5,-666666666.0,42.1,-666666666.0,-666666666.0,-666666666.0,33.3
"Block Group 1, Census Tract 6606.01, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660601> block group:1",66.0,23.0,,,,,,,,,,2945,26.4,27.3,-666666666.0,33.0,-666666666.0,-666666666.0,50.9,28.9
"Block Group 2, Census Tract 6615.02, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:661502> block group:2",113.0,39.0,,,,,,,,,,1431,34.9,42.1,-666666666.0,16.9,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 1, Census Tract 6606.02, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660602> block group:1",250.0,77.0,,,,,,,,,,11601,27.8,32.3,-666666666.0,32.2,-666666666.0,42.3,49.4,34.2
"Block Group 2, Census Tract 6606.02, Brazoria County, Texas: Summary level: 150, state:48> county:039> tract:660602> block group:2",426.0,150.0,,,,,,,,,,22054,35.8,36.0,-666666666.0,35.3,-666666666.0,13.8,37.1,35.3
