,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 13.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001301> block group:2",63,34,,,,,,,,,,803,26.3,26.0,-666666666.0,75.6,-666666666.0,27.4,-666666666.0,26.7
"Block Group 2, Census Tract 20.13, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002013> block group:2",157,65,,,,,,,,,,2542,24.1,66.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.5
"Block Group 2, Census Tract 20.14, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002014> block group:2",97,40,,,,,,,,,,960,21.1,20.8,28.1,-666666666.0,-666666666.0,20.8,-666666666.0,21.1
"Block Group 2, Census Tract 20.09, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002009> block group:2",242,88,,,,,,,,,,3482,41.5,-666666666.0,-666666666.0,45.0,-666666666.0,-666666666.0,4.8,42.7
"Block Group 1, Census Tract 20.10, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002010> block group:1",137,51,,,,,,,,,,1188,41.8,21.2,-666666666.0,-666666666.0,-666666666.0,31.3,-666666666.0,43.3
"Block Group 2, Census Tract 20.10, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002010> block group:2",183,67,,,,,,,,,,1652,46.7,-666666666.0,-666666666.0,44.4,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 2, Census Tract 1.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000101> block group:2",69,29,,,,,,,,,,1707,43.5,52.3,-666666666.0,-666666666.0,-666666666.0,21.7,23.9,51.5
"Block Group 4, Census Tract 1.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000101> block group:4",245,85,,,,,,,,,,2074,37.9,43.2,-666666666.0,-666666666.0,-666666666.0,15.0,19.6,38.5
"Block Group 1, Census Tract 1.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000102> block group:1",227,90,,,,,,,,,,2565,51.1,17.8,36.3,18.5,-666666666.0,22.7,3.0,52.2
"Block Group 3, Census Tract 13.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001302> block group:3",34,16,,,,,,,,,,454,25.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.8
"Block Group 3, Census Tract 2.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000202> block group:3",48,24,,,,,,,,,,558,51.6,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 4, Census Tract 2.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000202> block group:4",377,37,,,,,,,,,,3392,34.1,31.0,-666666666.0,-666666666.0,-666666666.0,28.1,40.3,35.8
"Block Group 2, Census Tract 17.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001702> block group:2",115,47,,,,,,,,,,2026,22.4,16.0,-666666666.0,21.2,-666666666.0,38.5,-666666666.0,22.4
"Block Group 1, Census Tract 16.06, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001606> block group:1",103,43,,,,,,,,,,1326,23.9,24.6,-666666666.0,28.3,-666666666.0,-666666666.0,-666666666.0,23.6
"Block Group 1, Census Tract 17.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001702> block group:1",93,39,,,,,,,,,,1264,23.8,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.9
"Block Group 3, Census Tract 6.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000603> block group:3",96,34,,,,,,,,,,1542,27.9,23.8,-666666666.0,-666666666.0,-666666666.0,52.5,-666666666.0,47.9
"Block Group 3, Census Tract 5, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000500> block group:3",91,37,,,,,,,,,,1466,24.6,34.9,-666666666.0,-666666666.0,-666666666.0,62.3,39.2,-666666666.0
"Block Group 2, Census Tract 4, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000400> block group:2",130,44,,,,,,,,,,1589,28.1,41.3,-666666666.0,-666666666.0,-666666666.0,37.0,12.3,34.3
"Block Group 3, Census Tract 4, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000400> block group:3",72,0,,,,,,,,,,812,37.2,36.5,32.5,-666666666.0,-666666666.0,31.9,38.8,43.0
"Block Group 3, Census Tract 2.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000201> block group:3",58,42,,,,,,,,,,1318,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.7,-666666666.0,26.2
"Block Group 3, Census Tract 17.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001701> block group:3",83,54,,,,,,,,,,1978,22.3,25.4,-666666666.0,26.1,-666666666.0,13.9,-666666666.0,22.8
"Block Group 2, Census Tract 17.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001701> block group:2",68,33,,,,,,,,,,1157,22.7,-666666666.0,-666666666.0,23.6,-666666666.0,38.6,19.6,22.6
"Block Group 1, Census Tract 20.12, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002012> block group:1",63,30,,,,,,,,,,1786,20.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.0
"Block Group 3, Census Tract 20.12, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002012> block group:3",88,47,,,,,,,,,,2944,21.5,-666666666.0,-666666666.0,20.7,-666666666.0,-666666666.0,-666666666.0,21.6
"Block Group 1, Census Tract 20.13, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002013> block group:1",226,95,,,,,,,,,,3546,24.8,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.5,23.6
"Block Group 4, Census Tract 11, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001100> block group:4",49,24,,,,,,,,,,771,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 2, Census Tract 10, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001000> block group:2",85,54,,,,,,,,,,1993,22.9,23.9,-666666666.0,24.8,-666666666.0,33.9,-666666666.0,23.5
"Block Group 4, Census Tract 13.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001303> block group:4",47,23,,,,,,,,,,1179,21.6,37.6,-666666666.0,30.9,-666666666.0,-666666666.0,-666666666.0,21.6
"Block Group 2, Census Tract 8, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000800> block group:2",54,27,,,,,,,,,,942,47.1,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 16.06, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001606> block group:2",138,64,,,,,,,,,,1976,22.0,31.6,16.5,24.0,-666666666.0,-666666666.0,23.9,21.8
"Block Group 1, Census Tract 20.06, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002006> block group:1",176,76,,,,,,,,,,1671,42.3,56.4,-666666666.0,38.8,-666666666.0,-666666666.0,36.4,40.8
"Block Group 1, Census Tract 9800, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:980000> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 20.08, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002008> block group:2",136,50,,,,,,,,,,2800,34.5,47.3,-666666666.0,36.6,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 1, Census Tract 20.07, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002007> block group:1",140,46,,,,,,,,,,3757,24.8,10.0,-666666666.0,19.9,-666666666.0,37.5,9.3,24.8
"Block Group 2, Census Tract 20.07, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002007> block group:2",121,46,,,,,,,,,,3570,23.1,14.7,-666666666.0,23.0,-666666666.0,-666666666.0,-666666666.0,23.1
"Block Group 2, Census Tract 18.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001803> block group:2",169,49,,,,,,,,,,2706,22.7,79.5,-666666666.0,42.7,-666666666.0,-666666666.0,14.8,22.9
"Block Group 3, Census Tract 18.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001803> block group:3",74,34,,,,,,,,,,1706,23.0,-666666666.0,-666666666.0,21.8,-666666666.0,-666666666.0,23.0,22.9
"Block Group 1, Census Tract 16.05, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001605> block group:1",118,51,,,,,,,,,,1219,23.0,29.4,-666666666.0,25.6,-666666666.0,24.7,22.9,23.7
"Block Group 2, Census Tract 5, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000500> block group:2",27,9,,,,,,,,,,395,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 5, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000500> block group:1",135,14,,,,,,,,,,1439,27.8,30.0,-666666666.0,-666666666.0,-666666666.0,22.2,31.0,29.9
"Block Group 4, Census Tract 5, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000500> block group:4",109,47,,,,,,,,,,1813,32.8,27.7,-666666666.0,-666666666.0,-666666666.0,14.8,-666666666.0,44.7
"Block Group 5, Census Tract 5, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000500> block group:5",74,22,,,,,,,,,,1005,28.4,42.2,-666666666.0,-666666666.0,-666666666.0,12.4,-666666666.0,39.2
"Block Group 2, Census Tract 11, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001100> block group:2",64,38,,,,,,,,,,1552,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.8,-666666666.0,49.1
"Block Group 1, Census Tract 10, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001000> block group:1",47,24,,,,,,,,,,1232,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 1, Census Tract 16.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001601> block group:1",153,81,,,,,,,,,,1986,22.5,25.9,-666666666.0,25.4,-666666666.0,31.6,30.3,22.1
"Block Group 3, Census Tract 16.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001601> block group:3",175,80,,,,,,,,,,1856,21.9,-666666666.0,-666666666.0,21.9,-666666666.0,12.8,21.5,21.9
"Block Group 1, Census Tract 2.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000201> block group:1",73,37,,,,,,,,,,1772,25.2,20.8,-666666666.0,-666666666.0,-666666666.0,37.5,-666666666.0,29.5
"Block Group 2, Census Tract 9, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000900> block group:2",106,45,,,,,,,,,,850,25.9,31.6,-666666666.0,-666666666.0,-666666666.0,20.2,-666666666.0,28.4
"Block Group 3, Census Tract 13.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001303> block group:3",162,34,,,,,,,,,,1803,19.9,11.0,-666666666.0,22.9,-666666666.0,28.4,19.6,19.8
"Block Group 2, Census Tract 13.03, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001303> block group:2",60,36,,,,,,,,,,1543,22.2,24.2,-666666666.0,30.5,-666666666.0,-666666666.0,35.5,22.5
"Block Group 2, Census Tract 18.01, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001801> block group:2",97,51,,,,,,,,,,2077,36.0,23.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 2, Census Tract 20.02, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:002002> block group:2",187,83,,,,,,,,,,3733,39.5,13.6,-666666666.0,33.6,-666666666.0,-666666666.0,28.1,37.3
"Block Group 1, Census Tract 19, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001900> block group:1",93,45,,,,,,,,,,1795,53.2,58.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 4, Census Tract 19, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001900> block group:4",53,35,,,,,,,,,,1058,51.5,14.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3
"Block Group 2, Census Tract 19, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:001900> block group:2",71,34,,,,,,,,,,1282,36.1,82.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.5
"Block Group 4, Census Tract 6.04, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000604> block group:4",71,19,,,,,,,,,,939,28.0,26.1,-666666666.0,-666666666.0,-666666666.0,21.6,10.5,-666666666.0
"Block Group 2, Census Tract 6.04, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000604> block group:2",66,23,,,,,,,,,,794,24.3,45.7,-666666666.0,-666666666.0,-666666666.0,51.0,-666666666.0,33.9
"Block Group 1, Census Tract 6.04, Brazos County, Texas: Summary level: 150, state:48> county:041> tract:000604> block group:1",99,28,,,,,,,,,,1716,22.9,17.7,-666666666.0,-666666666.0,-666666666.0,25.5,-666666666.0,30.3
