,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9606, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960600> block group:2",125,70,,,,,,,,,,795,53.3,-666666666.0,-666666666.0,40.7,-666666666.0,52.1,-666666666.0,53.8
"Block Group 1, Census Tract 9604, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960400> block group:1",159,55,,,,,,,,,,1982,31.8,51.6,59.4,-666666666.0,-666666666.0,28.8,19.6,29.7
"Block Group 1, Census Tract 9603, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960300> block group:1",152,63,,,,,,,,,,2298,35.5,32.3,-666666666.0,-666666666.0,-666666666.0,12.6,42.2,41.6
"Block Group 4, Census Tract 9602, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960200> block group:4",46,19,,,,,,,,,,519,47.1,27.2,17.4,-666666666.0,-666666666.0,49.0,-666666666.0,47.3
"Block Group 2, Census Tract 9601.02, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960102> block group:2",100,38,,,,,,,,,,1090,47.8,16.0,-666666666.0,-666666666.0,-666666666.0,68.6,-666666666.0,51.7
"Block Group 1, Census Tract 9601.01, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960101> block group:1",245,91,,,,,,,,,,1714,34.0,38.1,14.6,-666666666.0,-666666666.0,38.8,17.4,42.0
"Block Group 3, Census Tract 9601.01, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960101> block group:3",98,41,,,,,,,,,,1626,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.4,13.9,41.7
"Block Group 2, Census Tract 9601.01, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960101> block group:2",254,87,,,,,,,,,,2871,31.7,53.7,-666666666.0,-666666666.0,-666666666.0,33.7,11.8,47.3
"Block Group 1, Census Tract 9601.02, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960102> block group:1",157,66,,,,,,,,,,2380,48.1,23.7,-666666666.0,-666666666.0,-666666666.0,25.3,22.8,54.3
"Block Group 3, Census Tract 9605, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960500> block group:3",339,142,,,,,,,,,,2833,39.9,50.5,-666666666.0,-666666666.0,-666666666.0,22.9,3.6,44.1
"Block Group 2, Census Tract 9605, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960500> block group:2",69,26,,,,,,,,,,1638,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.7,-666666666.0,49.9
"Block Group 1, Census Tract 9605, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960500> block group:1",176,73,,,,,,,,,,1227,46.8,34.9,-666666666.0,-666666666.0,-666666666.0,32.0,40.8,48.1
"Block Group 4, Census Tract 9605, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960500> block group:4",258,15,,,,,,,,,,2662,21.9,20.7,-666666666.0,-666666666.0,-666666666.0,20.5,23.9,24.7
"Block Group 1, Census Tract 9606, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960600> block group:1",161,73,,,,,,,,,,1225,40.8,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 2, Census Tract 9603, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960300> block group:2",55,28,,,,,,,,,,629,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.8,-666666666.0,29.7
"Block Group 1, Census Tract 9607, Caldwell County, Texas: Summary level: 150, state:48> county:055> tract:960700> block group:1",38,15,,,,,,,,,,1168,38.6,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,75.2
