,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 7102, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710200> block group:3",353,137,,,,,,,,,,5403,39.8,45.5,-666666666.0,-666666666.0,-666666666.0,17.8,5.4,39.7
"Block Group 1, Census Tract 7106, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710600> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 7101, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710100> block group:1",147,58,,,,,,,,,,3560,33.5,37.4,-666666666.0,-666666666.0,-666666666.0,61.4,11.1,38.1
"Block Group 2, Census Tract 7101, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710100> block group:2",108,35,,,,,,,,,,2065,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,42.1
"Block Group 2, Census Tract 7103, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710300> block group:2",50,30,,,,,,,,,,660,49.9,20.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 3, Census Tract 7103, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710300> block group:3",84,48,,,,,,,,,,861,57.3,52.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.7
"Block Group 1, Census Tract 7105, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710500> block group:1",214,84,,,,,,,,,,1634,31.0,22.9,-666666666.0,23.9,-666666666.0,19.8,-666666666.0,39.0
"Block Group 3, Census Tract 7105, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710500> block group:3",97,41,,,,,,,,,,1167,41.9,45.8,-666666666.0,35.8,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 0, Census Tract 9900, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:990000> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 5, Census Tract 7102, Chambers County, Texas: Summary level: 150, state:48> county:071> tract:710200> block group:5",85,39,,,,,,,,,,2990,31.4,60.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.9
