,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 303.01, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030301> block group:4",293,135,,,,,,,,,,1483,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,73.2,50.8
"Block Group 3, Census Tract 303.01, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030301> block group:3",201,107,,,,,,,,,,896,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.4,45.3
"Block Group 2, Census Tract 303.01, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030301> block group:2",192,107,,,,,,,,,,895,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.3,53.1
"Block Group 1, Census Tract 303.02, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030302> block group:1",329,179,,,,,,,,,,1089,50.2,-666666666.0,58.6,-666666666.0,-666666666.0,-666666666.0,57.3,52.6
"Block Group 3, Census Tract 302, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030200> block group:3",109,50,,,,,,,,,,954,51.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 4, Census Tract 302, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030200> block group:4",63,25,,,,,,,,,,540,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 1, Census Tract 303.01, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030301> block group:1",277,127,,,,,,,,,,1300,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 2, Census Tract 303.02, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030302> block group:2",207,100,,,,,,,,,,799,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.2,-666666666.0,50.4
"Block Group 3, Census Tract 303.02, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030302> block group:3",81,54,,,,,,,,,,786,58.5,-666666666.0,63.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.5
"Block Group 1, Census Tract 302, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030200> block group:1",78,35,,,,,,,,,,952,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8
"Block Group 2, Census Tract 302, Clay County, Texas: Summary level: 150, state:48> county:077> tract:030200> block group:2",61,27,,,,,,,,,,785,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
