,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9508, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950800> block group:4",62,33,,,,,,,,,,493,54.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.4
"Block Group 3, Census Tract 9508, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950800> block group:3",189,93,,,,,,,,,,1348,54.1,45.1,-666666666.0,46.3,-666666666.0,-666666666.0,44.0,57.0
"Block Group 4, Census Tract 9504.02, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950402> block group:4",74,32,,,,,,,,,,1444,37.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 2, Census Tract 9504.02, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950402> block group:2",115,21,,,,,,,,,,1336,68.4,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,68.0
"Block Group 1, Census Tract 9504.02, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950402> block group:1",108,55,,,,,,,,,,1259,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 2, Census Tract 9504.01, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950401> block group:2",41,17,,,,,,,,,,465,53.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 4, Census Tract 9504.01, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950401> block group:4",106,23,,,,,,,,,,1211,34.4,27.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 3, Census Tract 9503, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950300> block group:3",225,97,,,,,,,,,,833,34.7,54.0,-666666666.0,27.4,-666666666.0,-666666666.0,11.6,35.0
"Block Group 1, Census Tract 9508, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950800> block group:1",192,85,,,,,,,,,,1301,54.4,-666666666.0,68.4,-666666666.0,-666666666.0,-666666666.0,11.4,54.4
"Block Group 2, Census Tract 9508, Fannin County, Texas: Summary level: 150, state:48> county:147> tract:950800> block group:2",103,50,,,,,,,,,,939,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.5,48.9,39.5
