,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9502, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950200> block group:1",76,25,,,,,,,,,,1772,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.7
"Block Group 5, Census Tract 9501, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950100> block group:5",36,15,,,,,,,,,,569,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.8
"Block Group 2, Census Tract 9501, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950100> block group:2",209,88,,,,,,,,,,691,33.3,-666666666.0,21.8,-666666666.0,-666666666.0,60.5,-666666666.0,43.0
"Block Group 3, Census Tract 9501, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950100> block group:3",61,26,,,,,,,,,,1046,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.7,-666666666.0,42.3
"Block Group 1, Census Tract 9501, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950100> block group:1",46,19,,,,,,,,,,596,17.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.8
"Block Group 2, Census Tract 9503, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950300> block group:2",82,25,,,,,,,,,,816,35.6,52.6,-666666666.0,-666666666.0,-666666666.0,22.8,20.6,63.8
"Block Group 3, Census Tract 9503, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950300> block group:3",106,41,,,,,,,,,,1228,34.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 5, Census Tract 9503, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950300> block group:5",135,48,,,,,,,,,,2089,30.8,27.6,-666666666.0,56.5,-666666666.0,30.6,-666666666.0,30.7
"Block Group 3, Census Tract 9502, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950200> block group:3",110,40,,,,,,,,,,3238,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5,-666666666.0,25.3
"Block Group 4, Census Tract 9501, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950100> block group:4",53,26,,,,,,,,,,899,16.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.4
"Block Group 1, Census Tract 9503, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950300> block group:1",80,22,,,,,,,,,,907,24.3,3.9,-666666666.0,-666666666.0,-666666666.0,12.4,-666666666.0,36.2
"Block Group 4, Census Tract 9503, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950300> block group:4",82,28,,,,,,,,,,907,24.7,-666666666.0,-666666666.0,33.1,-666666666.0,49.4,-666666666.0,24.0
"Block Group 2, Census Tract 9502, Gaines County, Texas: Summary level: 150, state:48> county:165> tract:950200> block group:2",156,58,,,,,,,,,,4158,26.8,13.5,-666666666.0,-666666666.0,-666666666.0,26.3,-666666666.0,26.5
