,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9508, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950800> block group:2",98,36,,,,,,,,,,740,26.4,61.6,-666666666.0,-666666666.0,-666666666.0,47.8,12.3,38.1
"Block Group 1, Census Tract 9508, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950800> block group:1",114,48,,,,,,,,,,1073,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.6,-666666666.0,32.8
"Block Group 2, Census Tract 9507, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950700> block group:2",212,90,,,,,,,,,,1532,39.7,51.3,53.5,-666666666.0,-666666666.0,25.3,23.3,44.3
"Block Group 4, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:4",45,15,,,,,,,,,,855,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.0,52.4
"Block Group 6, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:6",22,11,,,,,,,,,,352,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.5,53.2
"Block Group 3, Census Tract 9505, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950500> block group:3",59,24,,,,,,,,,,1189,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1,-666666666.0,28.8
"Block Group 2, Census Tract 9501, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950100> block group:2",115,63,,,,,,,,,,411,45.4,-666666666.0,26.5,-666666666.0,-666666666.0,8.8,25.3,45.7
"Block Group 3, Census Tract 9501, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950100> block group:3",131,69,,,,,,,,,,1258,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.6,46.3
"Block Group 4, Census Tract 9503, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950300> block group:4",46,22,,,,,,,,,,670,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5,-666666666.0,43.0
"Block Group 2, Census Tract 9506, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950600> block group:2",172,74,,,,,,,,,,1172,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5,9.5,52.9
"Block Group 1, Census Tract 9507, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950700> block group:1",92,43,,,,,,,,,,673,26.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.9,-666666666.0,27.0
"Block Group 1, Census Tract 9506, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950600> block group:1",120,60,,,,,,,,,,921,25.7,56.0,58.7,-666666666.0,-666666666.0,30.1,11.6,30.6
"Block Group 2, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:2",51,22,,,,,,,,,,908,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.4
"Block Group 1, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:1",35,24,,,,,,,,,,684,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 3, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:3",55,20,,,,,,,,,,801,52.0,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 5, Census Tract 9504, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950400> block group:5",45,20,,,,,,,,,,694,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 2, Census Tract 9505, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950500> block group:2",72,35,,,,,,,,,,780,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.2,6.5,58.5
"Block Group 1, Census Tract 9505, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950500> block group:1",98,39,,,,,,,,,,1335,27.0,-666666666.0,11.4,-666666666.0,-666666666.0,11.6,31.5,42.3
"Block Group 4, Census Tract 9501, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950100> block group:4",277,129,,,,,,,,,,1166,35.3,52.8,32.5,28.8,-666666666.0,26.7,-666666666.0,34.9
"Block Group 1, Census Tract 9501, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950100> block group:1",326,51,,,,,,,,,,1923,38.7,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 2, Census Tract 9503, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950300> block group:2",82,34,,,,,,,,,,1032,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.5,51.2
"Block Group 5, Census Tract 9503, Gray County, Texas: Summary level: 150, state:48> county:179> tract:950300> block group:5",91,39,,,,,,,,,,1077,37.8,16.9,-666666666.0,-666666666.0,16.2,-666666666.0,-666666666.0,39.3
