,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 6, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000600> block group:3",40,20,,,,,,,,,,677,64.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.0
"Block Group 1, Census Tract 6, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000600> block group:1",163,65,,,,,,,,,,3234,41.9,32.9,-666666666.0,36.6,-666666666.0,7.4,-666666666.0,42.4
"Block Group 2, Census Tract 6, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000600> block group:2",112,48,,,,,,,,,,2135,45.2,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 1, Census Tract 103.01, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010301> block group:1",99,42,,,,,,,,,,1789,21.1,26.1,-666666666.0,41.1,-666666666.0,-666666666.0,19.1,26.0
"Block Group 3, Census Tract 103.01, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010301> block group:3",218,87,,,,,,,,,,2461,36.8,31.6,10.8,68.1,-666666666.0,-666666666.0,2.9,38.7
"Block Group 4, Census Tract 104, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010400> block group:4",84,34,,,,,,,,,,1767,38.6,14.6,-666666666.0,-666666666.0,-666666666.0,11.4,-666666666.0,38.3
"Block Group 2, Census Tract 104, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010400> block group:2",98,40,,,,,,,,,,1399,38.8,21.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 3, Census Tract 104, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010400> block group:3",76,30,,,,,,,,,,1250,50.0,19.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3
"Block Group 3, Census Tract 102, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010200> block group:3",30,12,,,,,,,,,,421,38.0,2.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7,49.2
"Block Group 4, Census Tract 102, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010200> block group:4",63,30,,,,,,,,,,786,37.0,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 2, Census Tract 102, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:010200> block group:2",64,28,,,,,,,,,,1748,23.8,23.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.7
"Block Group 4, Census Tract 7, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000700> block group:4",92,33,,,,,,,,,,2000,30.5,17.5,-666666666.0,-666666666.0,-666666666.0,32.6,-666666666.0,33.3
"Block Group 1, Census Tract 4.01, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000401> block group:1",186,85,,,,,,,,,,2155,37.1,43.6,-666666666.0,32.3,-666666666.0,-666666666.0,-666666666.0,38.6
"Block Group 1, Census Tract 4.02, Gregg County, Texas: Summary level: 150, state:48> county:183> tract:000402> block group:1",98,49,,,,,,,,,,1036,50.5,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
