,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 218.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021803> block group:1",175.0,49.0,,,,,,,,,,3417,27.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9,-666666666.0,14.7
"Block Group 1, Census Tract 219.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021903> block group:1",81.0,27.0,,,,,,,,,,1269,31.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.9,-666666666.0,82.2
"Block Group 3, Census Tract 219.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021903> block group:3",85.0,34.0,,,,,,,,,,1394,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 219.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021903> block group:4",65.0,24.0,,,,,,,,,,1250,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.4,4.4,80.3
"Block Group 1, Census Tract 204.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:020403> block group:1",99.0,40.0,,,,,,,,,,1892,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.5,-666666666.0,42.8
"Block Group 3, Census Tract 204.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:020403> block group:3",79.0,42.0,,,,,,,,,,1755,35.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.3,-666666666.0,67.8
"Block Group 2, Census Tract 205.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:020504> block group:2",139.0,45.0,,,,,,,,,,4189,23.5,-666666666.0,15.2,42.3,-666666666.0,26.4,-666666666.0,9.8
"Block Group 2, Census Tract 238.01, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:023801> block group:2",206.0,63.0,,,,,,,,,,5345,26.6,-666666666.0,-666666666.0,31.2,-666666666.0,25.8,-666666666.0,29.6
"Block Group 4, Census Tract 217.02, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021702> block group:4",18.0,8.0,,,,,,,,,,791,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 3, Census Tract 217.02, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021702> block group:3",87.0,29.0,,,,,,,,,,3274,32.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 217.02, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021702> block group:2",175.0,48.0,,,,,,,,,,6537,22.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.5,-666666666.0,55.8
"Block Group 2, Census Tract 214.03, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021403> block group:2",122.0,53.0,,,,,,,,,,2190,28.7,14.7,-666666666.0,48.3,-666666666.0,36.2,-666666666.0,76.6
"Block Group 3, Census Tract 218.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021804> block group:3",67.0,21.0,,,,,,,,,,1379,30.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 218.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021804> block group:2",80.0,24.0,,,,,,,,,,1751,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.8,-666666666.0,-666666666.0
"Block Group 1, Census Tract 222.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:022204> block group:1",262.0,68.0,,,,,,,,,,4250,24.0,18.6,23.1,-666666666.0,-666666666.0,55.3,-666666666.0,46.4
"Block Group 1, Census Tract 220.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:022004> block group:1",75.0,43.0,,,,,,,,,,1911,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,73.3
"Block Group 4, Census Tract 220.04, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:022004> block group:4",136.0,38.0,,,,,,,,,,4446,21.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.9,-666666666.0,-666666666.0
"Block Group 1, Census Tract 217.01, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021701> block group:1",126.0,48.0,,,,,,,,,,3367,28.6,-666666666.0,-666666666.0,34.7,-666666666.0,26.2,-666666666.0,28.2
"Block Group 3, Census Tract 217.01, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021701> block group:3",124.0,38.0,,,,,,,,,,4365,25.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0,-666666666.0,21.4
"Block Group 4, Census Tract 217.01, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:021701> block group:4",39.0,20.0,,,,,,,,,,948,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2,-666666666.0,62.9
"Block Group 1, Census Tract 238.02, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:023802> block group:1",29.0,11.0,,,,,,,,,,560,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 4, Census Tract 238.02, Hidalgo County, Texas: Summary level: 150, state:48> county:215> tract:023802> block group:4",46.0,16.0,,,,,,,,,,1210,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,67.3,-666666666.0,-666666666.0
