,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9607, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960700> block group:1",100,48,,,,,,,,,,657,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 2, Census Tract 9604, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960400> block group:2",156,89,,,,,,,,,,927,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.9
"Block Group 1, Census Tract 9604, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960400> block group:1",143,81,,,,,,,,,,726,50.6,26.5,-666666666.0,-666666666.0,-666666666.0,24.0,31.5,53.8
"Block Group 1, Census Tract 9606, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960600> block group:1",241,93,,,,,,,,,,1365,36.5,53.7,-666666666.0,-666666666.0,-666666666.0,24.9,59.3,37.2
"Block Group 1, Census Tract 9608, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960800> block group:1",127,59,,,,,,,,,,1703,31.3,52.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 3, Census Tract 9608, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960800> block group:3",111,44,,,,,,,,,,1145,41.2,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,51.1
"Block Group 1, Census Tract 9602, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960200> block group:1",237,126,,,,,,,,,,1983,58.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9
"Block Group 2, Census Tract 9602, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960200> block group:2",240,107,,,,,,,,,,1241,44.0,-666666666.0,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 2, Census Tract 9601, Hill County, Texas: Summary level: 150, state:48> county:217> tract:960100> block group:2",337,154,,,,,,,,,,2239,51.4,46.8,26.7,-666666666.0,-666666666.0,41.7,0.0,51.9
"Block Group 2, Census Tract 9610, Hill County, Texas: Summary level: 150, state:48> county:217> tract:961000> block group:2",78,45,,,,,,,,,,684,35.0,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.8
