,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9606, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960600> block group:3",38,20,,,,,,,,,,514,34.4,54.8,-666666666.0,33.7,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 2, Census Tract 9606, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960600> block group:2",114,30,,,,,,,,,,1331,21.8,21.5,-666666666.0,22.9,-666666666.0,22.3,23.9,22.6
"Block Group 3, Census Tract 9614, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:961400> block group:3",204,78,,,,,,,,,,3470,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.7,8.3,39.5
"Block Group 1, Census Tract 9602, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960200> block group:1",160,74,,,,,,,,,,1144,50.4,67.6,-666666666.0,-666666666.0,-666666666.0,16.9,-666666666.0,50.4
"Block Group 3, Census Tract 9613, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:961300> block group:3",102,39,,,,,,,,,,1713,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.9,-666666666.0,39.7
"Block Group 2, Census Tract 9613, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:961300> block group:2",92,42,,,,,,,,,,2091,37.8,22.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,43.7
"Block Group 1, Census Tract 9613, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:961300> block group:1",88,30,,,,,,,,,,1397,47.9,56.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,52.1
"Block Group 2, Census Tract 9601, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960100> block group:2",157,71,,,,,,,,,,1397,40.7,21.4,-666666666.0,23.6,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 2, Census Tract 9607, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960700> block group:2",123,57,,,,,,,,,,1004,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 3, Census Tract 9608, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960800> block group:3",51,25,,,,,,,,,,870,32.5,43.7,-666666666.0,-666666666.0,-666666666.0,16.7,-666666666.0,35.5
"Block Group 4, Census Tract 9608, Hunt County, Texas: Summary level: 150, state:48> county:231> tract:960800> block group:4",54,23,,,,,,,,,,643,53.3,48.4,-666666666.0,-666666666.0,-666666666.0,18.2,-666666666.0,54.4
