,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9505, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950500> block group:1",20,18,,,,,,,,,,411,54.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.8
"Block Group 2, Census Tract 9505, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950500> block group:2",101,80,,,,,,,,,,621,34.2,-666666666.0,-666666666.0,41.5,-666666666.0,-666666666.0,46.4,34.2
"Block Group 4, Census Tract 9505, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950500> block group:4",216,102,,,,,,,,,,2294,38.2,-666666666.0,63.8,-666666666.0,-666666666.0,-666666666.0,12.7,38.4
"Block Group 1, Census Tract 9510, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:951000> block group:1",105,45,,,,,,,,,,1241,28.9,15.4,31.2,33.1,-666666666.0,51.2,-666666666.0,37.0
"Block Group 3, Census Tract 9510, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:951000> block group:3",143,60,,,,,,,,,,1640,45.6,-666666666.0,54.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 2, Census Tract 9502, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950200> block group:2",158,79,,,,,,,,,,961,40.2,-666666666.0,53.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 3, Census Tract 9509, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950900> block group:3",73,31,,,,,,,,,,816,40.5,-666666666.0,11.4,-666666666.0,-666666666.0,-666666666.0,39.2,41.0
"Block Group 1, Census Tract 9509, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950900> block group:1",106,41,,,,,,,,,,1094,44.4,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,39.7
"Block Group 1, Census Tract 9506, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950600> block group:1",60,32,,,,,,,,,,812,34.5,42.2,-666666666.0,-666666666.0,-666666666.0,35.0,10.4,50.6
"Block Group 5, Census Tract 9509, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950900> block group:5",46,22,,,,,,,,,,653,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 2, Census Tract 9507, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950700> block group:2",123,56,,,,,,,,,,948,29.6,38.2,-666666666.0,-666666666.0,-666666666.0,23.9,42.2,36.1
"Block Group 1, Census Tract 9507, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950700> block group:1",100,46,,,,,,,,,,950,33.4,10.1,-666666666.0,-666666666.0,-666666666.0,51.2,9.0,33.7
"Block Group 4, Census Tract 9506, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950600> block group:4",77,41,,,,,,,,,,1046,28.0,7.7,-666666666.0,-666666666.0,-666666666.0,17.5,-666666666.0,50.4
"Block Group 2, Census Tract 9506, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950600> block group:2",69,29,,,,,,,,,,868,31.6,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 1, Census Tract 9502, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950200> block group:1",123,54,,,,,,,,,,710,35.0,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,66.3,34.0
"Block Group 3, Census Tract 9505, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950500> block group:3",158,70,,,,,,,,,,1864,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7,52.6
"Block Group 2, Census Tract 9510, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:951000> block group:2",66,34,,,,,,,,,,1002,23.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.4
"Block Group 4, Census Tract 9509, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950900> block group:4",48,27,,,,,,,,,,604,35.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 2, Census Tract 9509, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950900> block group:2",67,32,,,,,,,,,,669,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.1,48.4
"Block Group 1, Census Tract 9508, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950800> block group:1",90,67,,,,,,,,,,711,39.6,34.0,-666666666.0,-666666666.0,-666666666.0,17.5,67.8,53.8
"Block Group 3, Census Tract 9506, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950600> block group:3",104,41,,,,,,,,,,1203,39.9,58.8,-666666666.0,-666666666.0,-666666666.0,24.9,-666666666.0,45.7
"Block Group 3, Census Tract 9502, Hutchinson County, Texas: Summary level: 150, state:48> county:233> tract:950200> block group:3",117,77,,,,,,,,,,740,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.8,41.2
