,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 508, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050800> block group:4",216,86,,,,,,,,,,2528,32.8,57.7,-666666666.0,-666666666.0,-666666666.0,5.8,-666666666.0,35.1
"Block Group 2, Census Tract 507.01, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050701> block group:2",165,63,,,,,,,,,,1793,31.3,55.2,-666666666.0,-666666666.0,-666666666.0,48.8,-666666666.0,38.7
"Block Group 1, Census Tract 502.01, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050201> block group:1",41,18,,,,,,,,,,911,32.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8
"Block Group 2, Census Tract 503, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050300> block group:2",66,24,,,,,,,,,,948,40.1,11.3,-666666666.0,-666666666.0,-666666666.0,26.2,7.8,40.5
"Block Group 1, Census Tract 503, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050300> block group:1",155,64,,,,,,,,,,2015,36.4,25.8,-666666666.0,57.6,-666666666.0,33.1,6.6,43.7
"Block Group 1, Census Tract 508, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050800> block group:1",245,89,,,,,,,,,,1988,34.1,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 3, Census Tract 508, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050800> block group:3",366,135,,,,,,,,,,2116,42.8,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,42.7
"Block Group 2, Census Tract 504, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050400> block group:2",104,36,,,,,,,,,,1877,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.5,3.8,34.7
"Block Group 4, Census Tract 504, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050400> block group:4",74,25,,,,,,,,,,1550,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.5,15.2,57.5
"Block Group 1, Census Tract 507.03, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050703> block group:1",117,46,,,,,,,,,,1059,42.0,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 1, Census Tract 502.04, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050204> block group:1",168,47,,,,,,,,,,2851,32.4,25.5,-666666666.0,-666666666.0,-666666666.0,39.4,18.9,35.1
"Block Group 2, Census Tract 502.04, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050204> block group:2",203,62,,,,,,,,,,2715,32.9,38.6,-666666666.0,27.4,-666666666.0,34.9,38.1,35.3
"Block Group 1, Census Tract 512.01, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051201> block group:1",138,63,,,,,,,,,,2246,38.2,35.2,-666666666.0,54.6,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 4, Census Tract 505, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050500> block group:4",67,28,,,,,,,,,,1042,36.1,28.6,-666666666.0,-666666666.0,-666666666.0,24.0,-666666666.0,28.5
"Block Group 1, Census Tract 505, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050500> block group:1",124,46,,,,,,,,,,1800,24.3,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.2,31.3
"Block Group 2, Census Tract 505, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050500> block group:2",89,29,,,,,,,,,,1302,19.5,46.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.0,19.5
"Block Group 3, Census Tract 505, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050500> block group:3",132,56,,,,,,,,,,1392,56.9,60.0,-666666666.0,-666666666.0,-666666666.0,10.8,6.1,56.9
"Block Group 1, Census Tract 510, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051000> block group:1",104,31,,,,,,,,,,871,25.7,55.1,-666666666.0,-666666666.0,-666666666.0,12.8,-666666666.0,46.0
"Block Group 2, Census Tract 510, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051000> block group:2",82,37,,,,,,,,,,877,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.5,-666666666.0,27.5
"Block Group 2, Census Tract 511, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051100> block group:2",204,81,,,,,,,,,,2290,36.2,27.6,21.2,-666666666.0,-666666666.0,27.3,8.6,36.8
"Block Group 2, Census Tract 513, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051300> block group:2",150,61,,,,,,,,,,1184,25.4,57.1,23.7,-666666666.0,-666666666.0,31.4,20.9,25.5
"Block Group 1, Census Tract 511, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051100> block group:1",43,17,,,,,,,,,,541,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.3,-666666666.0,40.0
"Block Group 4, Census Tract 511, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051100> block group:4",85,43,,,,,,,,,,1027,40.9,23.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,41.4
"Block Group 3, Census Tract 511, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051100> block group:3",60,25,,,,,,,,,,649,47.6,48.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 5, Census Tract 513, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051300> block group:5",36,19,,,,,,,,,,801,49.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 1, Census Tract 513, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051300> block group:1",98,45,,,,,,,,,,1773,44.1,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 2, Census Tract 506, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050600> block group:2",57,23,,,,,,,,,,1288,34.5,-666666666.0,-666666666.0,38.2,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 4, Census Tract 506, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050600> block group:4",124,55,,,,,,,,,,3144,50.2,45.6,-666666666.0,29.7,-666666666.0,-666666666.0,10.0,50.3
"Block Group 1, Census Tract 507.01, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050701> block group:1",100,39,,,,,,,,,,1579,35.5,49.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.5,41.7
"Block Group 3, Census Tract 507.01, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050701> block group:3",286,119,,,,,,,,,,1501,50.8,60.4,-666666666.0,-666666666.0,-666666666.0,35.8,56.9,52.0
"Block Group 1, Census Tract 507.04, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050704> block group:1",217,83,,,,,,,,,,1679,34.8,33.9,7.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 1, Census Tract 512.02, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051202> block group:1",343,142,,,,,,,,,,2004,42.8,-666666666.0,47.9,-666666666.0,-666666666.0,36.8,21.0,42.9
"Block Group 3, Census Tract 512.02, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051202> block group:3",102,41,,,,,,,,,,1298,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4,49.3
"Block Group 2, Census Tract 507.04, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050704> block group:2",167,69,,,,,,,,,,2182,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.8,17.7,44.3
"Block Group 2, Census Tract 502.03, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050203> block group:2",374,134,,,,,,,,,,5445,31.5,31.6,48.7,52.2,-666666666.0,34.6,4.9,31.9
"Block Group 1, Census Tract 502.06, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050206> block group:1",98,43,,,,,,,,,,2497,34.5,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.4,34.2
"Block Group 2, Census Tract 502.06, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050206> block group:2",73,23,,,,,,,,,,1530,37.7,48.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.6,37.4
"Block Group 3, Census Tract 502.06, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050206> block group:3",152,46,,,,,,,,,,3455,28.5,11.7,-666666666.0,41.1,-666666666.0,22.4,15.4,29.5
"Block Group 3, Census Tract 513, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:051300> block group:3",92,41,,,,,,,,,,1775,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4
"Block Group 1, Census Tract 506, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050600> block group:1",59,18,,,,,,,,,,1695,40.4,-666666666.0,-666666666.0,29.5,-666666666.0,-666666666.0,-666666666.0,55.4
"Block Group 3, Census Tract 506, Kaufman County, Texas: Summary level: 150, state:48> county:257> tract:050600> block group:3",69,31,,,,,,,,,,1362,56.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
