,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 201, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020100> block group:2",177,84,,,,,,,,,,2069,45.9,51.0,-666666666.0,-666666666.0,-666666666.0,46.2,55.4,36.7
"Block Group 6, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:6",16,8,,,,,,,,,,397,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 1, Census Tract 201, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020100> block group:1",338,171,,,,,,,,,,2912,32.5,-666666666.0,-666666666.0,18.9,-666666666.0,43.7,-666666666.0,48.5
"Block Group 4, Census Tract 205, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020500> block group:4",155,57,,,,,,,,,,3628,28.3,27.6,-666666666.0,24.3,-666666666.0,39.6,27.5,30.8
"Block Group 1, Census Tract 205, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020500> block group:1",87,32,,,,,,,,,,1884,30.2,43.3,-666666666.0,-666666666.0,-666666666.0,41.6,13.5,34.3
"Block Group 2, Census Tract 205, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020500> block group:2",45,21,,,,,,,,,,1107,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5
"Block Group 3, Census Tract 205, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020500> block group:3",18,7,,,,,,,,,,586,28.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.4
"Block Group 3, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:3",38,19,,,,,,,,,,799,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1
"Block Group 2, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:2",83,33,,,,,,,,,,1800,21.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.1
"Block Group 3, Census Tract 202, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020200> block group:3",66,28,,,,,,,,,,1510,25.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.6,-666666666.0,50.5
"Block Group 1, Census Tract 202, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020200> block group:1",61,28,,,,,,,,,,1372,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.6,-666666666.0,21.7
"Block Group 4, Census Tract 202, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020200> block group:4",65,20,,,,,,,,,,823,50.1,27.8,75.1,-666666666.0,-666666666.0,33.6,-666666666.0,54.5
"Block Group 3, Census Tract 203, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020300> block group:3",211,16,,,,,,,,,,1850,20.6,20.3,-666666666.0,28.6,-666666666.0,20.2,-666666666.0,21.0
"Block Group 2, Census Tract 203, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020300> block group:2",53,18,,,,,,,,,,1725,24.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.6,-666666666.0,71.3
"Block Group 1, Census Tract 203, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020300> block group:1",80,34,,,,,,,,,,1738,22.9,-666666666.0,-666666666.0,23.5,-666666666.0,21.7,-666666666.0,21.4
"Block Group 5, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:5",57,23,,,,,,,,,,1515,27.0,-666666666.0,-666666666.0,17.7,-666666666.0,-666666666.0,-666666666.0,72.9
"Block Group 1, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:1",41,21,,,,,,,,,,739,27.1,46.8,-666666666.0,-666666666.0,-666666666.0,22.9,-666666666.0,57.3
"Block Group 2, Census Tract 202, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020200> block group:2",41,17,,,,,,,,,,801,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.7
"Block Group 5, Census Tract 202, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020200> block group:5",35,17,,,,,,,,,,863,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.4,16.3,61.2
"Block Group 5, Census Tract 203, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020300> block group:5",60,31,,,,,,,,,,1648,35.9,16.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.8
"Block Group 0, Census Tract 9900, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:990000> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 4, Census Tract 204, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020400> block group:4",83,39,,,,,,,,,,1569,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5,-666666666.0,26.6
"Block Group 4, Census Tract 203, Kleberg County, Texas: Summary level: 150, state:48> county:273> tract:020300> block group:4",44,19,,,,,,,,,,694,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.5
