,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 4, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000400> block group:3",113,44,,,,,,,,,,1880,30.8,36.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 1, Census Tract 4, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000400> block group:1",186,43,,,,,,,,,,2147,34.7,18.4,-666666666.0,-666666666.0,-666666666.0,19.0,17.0,42.5
"Block Group 2, Census Tract 4, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000400> block group:2",64,28,,,,,,,,,,1181,29.8,44.2,-666666666.0,-666666666.0,-666666666.0,18.7,8.2,52.9
"Block Group 2, Census Tract 3, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000300> block group:2",108,55,,,,,,,,,,1560,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.2,-666666666.0,47.7
"Block Group 1, Census Tract 3, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000300> block group:1",52,26,,,,,,,,,,588,50.7,71.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 1, Census Tract 2, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000200> block group:1",192,115,,,,,,,,,,1261,48.1,48.5,-666666666.0,8.8,-666666666.0,37.2,68.9,53.3
"Block Group 3, Census Tract 2, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000200> block group:3",69,40,,,,,,,,,,778,55.6,52.0,-666666666.0,-666666666.0,-666666666.0,19.9,-666666666.0,55.6
"Block Group 1, Census Tract 1, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000100> block group:1",166,69,,,,,,,,,,1329,39.1,20.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 3, Census Tract 1, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000100> block group:3",213,104,,,,,,,,,,1875,48.3,51.8,-666666666.0,-666666666.0,-666666666.0,14.7,-666666666.0,48.2
"Block Group 3, Census Tract 3, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000300> block group:3",68,36,,,,,,,,,,757,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 2, Census Tract 1, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000100> block group:2",122,60,,,,,,,,,,1650,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.6,-666666666.0,46.9
"Block Group 4, Census Tract 4, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000400> block group:4",54,26,,,,,,,,,,835,56.0,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.7
"Block Group 2, Census Tract 2, Lee County, Texas: Summary level: 150, state:48> county:287> tract:000200> block group:2",92,43,,,,,,,,,,823,36.9,20.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
