,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 9502, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950200> block group:5",131,76,,,,,,,,,,915,56.4,47.4,-666666666.0,-666666666.0,-666666666.0,17.5,7.8,54.5
"Block Group 4, Census Tract 9502, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950200> block group:4",58,43,,,,,,,,,,1142,62.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.5
"Block Group 3, Census Tract 9502, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950200> block group:3",28,21,,,,,,,,,,754,51.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 3, Census Tract 9501, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950100> block group:3",223,104,,,,,,,,,,2482,42.8,19.5,15.6,-666666666.0,-666666666.0,12.8,-666666666.0,44.6
"Block Group 1, Census Tract 9501, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950100> block group:1",182,94,,,,,,,,,,1657,35.8,39.2,-666666666.0,-666666666.0,-666666666.0,19.4,-666666666.0,43.9
"Block Group 3, Census Tract 9503, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950300> block group:3",104,72,,,,,,,,,,1233,47.5,44.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 4, Census Tract 9503, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950300> block group:4",198,114,,,,,,,,,,2110,50.9,74.2,17.8,-666666666.0,-666666666.0,26.8,1.6,53.6
"Block Group 2, Census Tract 9503, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950300> block group:2",104,51,,,,,,,,,,1069,34.2,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 2, Census Tract 9502, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950200> block group:2",92,53,,,,,,,,,,830,57.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8,-666666666.0,59.7
"Block Group 2, Census Tract 9501, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950100> block group:2",207,125,,,,,,,,,,1186,51.6,60.4,72.9,-666666666.0,-666666666.0,-666666666.0,3.6,51.9
"Block Group 4, Census Tract 9501, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950100> block group:4",253,103,,,,,,,,,,2003,26.8,30.9,-666666666.0,-666666666.0,-666666666.0,20.1,-666666666.0,27.5
"Block Group 1, Census Tract 9503, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950300> block group:1",61,45,,,,,,,,,,864,59.3,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.9,60.0
"Block Group 1, Census Tract 9502, Leon County, Texas: Summary level: 150, state:48> county:289> tract:950200> block group:1",50,36,,,,,,,,,,574,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,67.2
