,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 5, Census Tract 16, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:001600> block group:5",36,15,,,,,,,,,,1045,22.9,15.6,-666666666.0,-666666666.0,-666666666.0,27.1,-666666666.0,48.9
"Block Group 2, Census Tract 18, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:001800> block group:2",244,40,,,,,,,,,,2022,33.8,28.3,-666666666.0,31.6,-666666666.0,39.8,-666666666.0,35.0
"Block Group 2, Census Tract 8, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:000800> block group:2",211,80,,,,,,,,,,2029,26.9,49.2,-666666666.0,50.3,-666666666.0,33.2,4.5,31.7
"Block Group 5, Census Tract 4, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:000400> block group:5",42,19,,,,,,,,,,1257,43.9,26.2,-666666666.0,-666666666.0,-666666666.0,22.8,2.4,-666666666.0
"Block Group 1, Census Tract 20, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:002000> block group:1",205,84,,,,,,,,,,2469,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.5,-666666666.0,39.1
"Block Group 2, Census Tract 43, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:004300> block group:2",43,16,,,,,,,,,,591,50.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.3,59.5,58.4
"Block Group 1, Census Tract 9800, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:980000> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 37.03, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:003703> block group:1",63,24,,,,,,,,,,764,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 2, Census Tract 37.03, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:003703> block group:2",257,98,,,,,,,,,,3703,32.0,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.3,33.8
"Block Group 1, Census Tract 38.01, McLennan County, Texas: Summary level: 150, state:48> county:309> tract:003801> block group:1",164,54,,,,,,,,,,3353,38.0,52.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5,37.9
