,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 3, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000300> block group:2",446,27,,,,,,,,,,3173,28.5,27.7,50.1,-666666666.0,-666666666.0,29.7,27.6,41.2
"Block Group 1, Census Tract 3, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000300> block group:1",69,34,,,,,,,,,,1502,29.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8,14.5,45.9
"Block Group 4, Census Tract 3, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000300> block group:4",56,15,,,,,,,,,,1017,37.8,24.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,74.2
"Block Group 1, Census Tract 2, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000200> block group:1",267,151,,,,,,,,,,1664,50.7,-666666666.0,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.3
"Block Group 1, Census Tract 8, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000800> block group:1",36,16,,,,,,,,,,903,57.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.6,-666666666.0,63.5
"Block Group 3, Census Tract 5, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000500> block group:3",79,33,,,,,,,,,,1152,25.7,-666666666.0,49.1,-666666666.0,-666666666.0,39.2,27.5,38.7
"Block Group 1, Census Tract 5, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000500> block group:1",108,49,,,,,,,,,,1169,54.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.3
"Block Group 2, Census Tract 4.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000401> block group:2",219,95,,,,,,,,,,2681,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3,-666666666.0,56.6
"Block Group 2, Census Tract 1.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000101> block group:2",206,90,,,,,,,,,,1637,46.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7,12.3,49.3
"Block Group 4, Census Tract 1.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000101> block group:4",77,40,,,,,,,,,,717,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5,-666666666.0,53.3
"Block Group 3, Census Tract 1.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000101> block group:3",80,28,,,,,,,,,,2396,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 1, Census Tract 1.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000101> block group:1",83,24,,,,,,,,,,2415,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.0,35.1
"Block Group 1, Census Tract 4.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000402> block group:1",90,35,,,,,,,,,,1227,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.3,57.1
"Block Group 3, Census Tract 4.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000402> block group:3",114,53,,,,,,,,,,1495,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2,-666666666.0,50.1
"Block Group 1, Census Tract 4.01, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000401> block group:1",168,72,,,,,,,,,,2829,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,-666666666.0,55.3
"Block Group 2, Census Tract 4.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000402> block group:2",83,29,,,,,,,,,,1337,27.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9,-666666666.0,23.7
"Block Group 2, Census Tract 1.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000102> block group:2",233,85,,,,,,,,,,2000,46.2,54.7,-666666666.0,-666666666.0,-666666666.0,60.5,14.7,46.3
"Block Group 1, Census Tract 1.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000102> block group:1",223,83,,,,,,,,,,4448,42.2,43.4,-666666666.0,-666666666.0,-666666666.0,46.9,17.9,44.0
"Block Group 2, Census Tract 8, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000800> block group:2",59,19,,,,,,,,,,1366,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,92.5,11.5,42.0
"Block Group 3, Census Tract 8, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000800> block group:3",75,29,,,,,,,,,,2054,27.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.8,-666666666.0,27.0
"Block Group 4, Census Tract 5, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000500> block group:4",112,43,,,,,,,,,,1531,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.2
"Block Group 2, Census Tract 5, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000500> block group:2",112,42,,,,,,,,,,1402,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4,29.4,52.1
"Block Group 3, Census Tract 1.02, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000102> block group:3",89,44,,,,,,,,,,2007,52.3,-666666666.0,19.7,-666666666.0,-666666666.0,45.1,4.6,51.9
"Block Group 5, Census Tract 8, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000800> block group:5",32,12,,,,,,,,,,533,50.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.1
"Block Group 3, Census Tract 3, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000300> block group:3",118,58,,,,,,,,,,2526,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.2,50.2
"Block Group 4, Census Tract 8, Medina County, Texas: Summary level: 150, state:48> county:325> tract:000800> block group:4",81,34,,,,,,,,,,2211,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.0
