,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 6933, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:693300> block group:3",155,65,,,,,,,,,,2910,34.5,9.6,-666666666.0,44.2,-666666666.0,-666666666.0,11.6,33.0
"Block Group 1, Census Tract 6933, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:693300> block group:1",58,32,,,,,,,,,,1279,41.4,-666666666.0,-666666666.0,34.6,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 1, Census Tract 6938, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:693800> block group:1",282,103,,,,,,,,,,4803,27.6,26.4,23.5,41.7,-666666666.0,23.4,21.0,31.7
"Block Group 1, Census Tract 6947, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:694700> block group:1",150,78,,,,,,,,,,2059,45.8,60.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2,46.2
"Block Group 2, Census Tract 6947, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:694700> block group:2",130,70,,,,,,,,,,1205,47.0,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.8,47.0
"Block Group 2, Census Tract 6907, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:690700> block group:2",201,104,,,,,,,,,,6287,46.3,32.5,-666666666.0,29.1,-666666666.0,-666666666.0,41.7,49.5
"Block Group 1, Census Tract 6907, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:690700> block group:1",348,155,,,,,,,,,,3436,42.0,29.8,-666666666.0,32.2,-666666666.0,-666666666.0,14.5,46.8
"Block Group 1, Census Tract 6905, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:690500> block group:1",233,86,,,,,,,,,,5000,41.4,57.8,-666666666.0,57.4,-666666666.0,12.4,11.2,41.6
"Block Group 2, Census Tract 6909, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:690900> block group:2",229,75,,,,,,,,,,2334,48.9,18.4,-666666666.0,34.9,-666666666.0,-666666666.0,7.9,48.6
"Block Group 3, Census Tract 6912, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691200> block group:3",124,45,,,,,,,,,,2243,41.3,-666666666.0,16.4,57.8,-666666666.0,-666666666.0,-666666666.0,38.8
"Block Group 1, Census Tract 6912, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691200> block group:1",132,56,,,,,,,,,,2545,49.9,15.3,-666666666.0,46.1,-666666666.0,-666666666.0,26.4,52.2
"Block Group 1, Census Tract 6914, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691400> block group:1",124,48,,,,,,,,,,3298,33.1,-666666666.0,-666666666.0,47.1,-666666666.0,34.8,34.6,35.6
"Block Group 3, Census Tract 6914, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691400> block group:3",40,27,,,,,,,,,,1066,34.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.1,37.0
"Block Group 4, Census Tract 6918, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691800> block group:4",129,50,,,,,,,,,,1798,36.5,44.7,-666666666.0,60.3,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 1, Census Tract 6918, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:691800> block group:1",160,69,,,,,,,,,,1074,54.3,42.2,-666666666.0,50.1,-666666666.0,-666666666.0,15.9,55.3
"Block Group 2, Census Tract 6922, Montgomery County, Texas: Summary level: 150, state:48> county:339> tract:692200> block group:2",33,14,,,,,,,,,,819,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.8
