,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 59, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:005900> block group:2",70.0,36.0,,,,,,,,,,839,42.8,-666666666.0,-666666666.0,-666666666.0,22.2,22.5,-666666666.0,64.1
"Block Group 1, Census Tract 10, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001000> block group:1",63.0,26.0,,,,,,,,,,881,38.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.3,-666666666.0,22.6
"Block Group 2, Census Tract 10, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001000> block group:2",60.0,24.0,,,,,,,,,,886,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.4,-666666666.0,26.6
"Block Group 2, Census Tract 14, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001400> block group:2",36.0,20.0,,,,,,,,,,750,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.0
"Block Group 1, Census Tract 14, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001400> block group:1",43.0,20.0,,,,,,,,,,768,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8
"Block Group 4, Census Tract 14, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001400> block group:4",90.0,42.0,,,,,,,,,,1812,38.0,-666666666.0,-666666666.0,57.8,-666666666.0,-666666666.0,-666666666.0,49.0
"Block Group 3, Census Tract 14, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001400> block group:3",72.0,28.0,,,,,,,,,,1612,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1,40.4,48.9
"Block Group 2, Census Tract 7, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:000700> block group:2",130.0,39.0,,,,,,,,,,1483,29.7,25.8,-666666666.0,34.3,-666666666.0,16.8,46.3,49.4
"Block Group 1, Census Tract 7, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:000700> block group:1",119.0,47.0,,,,,,,,,,1360,35.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.2,-666666666.0,35.5
"Block Group 3, Census Tract 7, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:000700> block group:3",182.0,80.0,,,,,,,,,,2488,50.4,71.3,-666666666.0,39.9,-666666666.0,22.3,-666666666.0,61.7
"Block Group 2, Census Tract 16.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001602> block group:2",86.0,38.0,,,,,,,,,,1547,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9,-666666666.0,-666666666.0
"Block Group 3, Census Tract 16.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001602> block group:3",101.0,45.0,,,,,,,,,,1156,58.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.4,51.4,-666666666.0
"Block Group 1, Census Tract 16.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001602> block group:1",42.0,21.0,,,,,,,,,,771,44.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.7,-666666666.0,32.5
"Block Group 1, Census Tract 18.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001802> block group:1",182.0,55.0,,,,,,,,,,1721,30.6,15.9,-666666666.0,-666666666.0,-666666666.0,25.4,12.5,43.2
"Block Group 2, Census Tract 18.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001802> block group:2",104.0,46.0,,,,,,,,,,993,41.2,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.0,14.3
"Block Group 2, Census Tract 22, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002200> block group:2",16.0,8.0,,,,,,,,,,277,56.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8,-666666666.0,54.0
"Block Group 3, Census Tract 22, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002200> block group:3",36.0,18.0,,,,,,,,,,768,48.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 5, Census Tract 22, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002200> block group:5",43.0,19.0,,,,,,,,,,1113,28.2,-666666666.0,-666666666.0,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 27.04, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002704> block group:2",81.0,44.0,,,,,,,,,,1550,28.7,21.6,-666666666.0,-666666666.0,-666666666.0,21.3,23.5,27.5
"Block Group 1, Census Tract 27.04, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002704> block group:1",24.0,15.0,,,,,,,,,,461,41.9,18.5,-666666666.0,26.5,-666666666.0,-666666666.0,25.0,41.7
"Block Group 3, Census Tract 18.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001801> block group:3",84.0,29.0,,,,,,,,,,1099,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.1,44.2
"Block Group 2, Census Tract 18.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001801> block group:2",50.0,21.0,,,,,,,,,,763,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9,-666666666.0,59.5
"Block Group 5, Census Tract 18.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001801> block group:5",64.0,26.0,,,,,,,,,,988,30.6,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 5, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:000500> block group:1",175.0,82.0,,,,,,,,,,1627,22.6,38.9,-666666666.0,-666666666.0,-666666666.0,38.4,-666666666.0,49.9
"Block Group 3, Census Tract 15, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001500> block group:3",78.0,30.0,,,,,,,,,,982,24.2,39.9,-666666666.0,-666666666.0,-666666666.0,54.3,-666666666.0,-666666666.0
"Block Group 2, Census Tract 15, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:001500> block group:2",137.0,55.0,,,,,,,,,,1951,31.6,4.6,-666666666.0,-666666666.0,-666666666.0,41.9,28.2,46.0
"Block Group 1, Census Tract 23.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002301> block group:1",62.0,30.0,,,,,,,,,,840,50.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7,-666666666.0,73.1
"Block Group 4, Census Tract 25, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002500> block group:4",54.0,28.0,,,,,,,,,,1003,31.2,61.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.2
"Block Group 1, Census Tract 25, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002500> block group:1",67.0,17.0,,,,,,,,,,1412,32.4,-666666666.0,-666666666.0,65.8,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 3, Census Tract 25, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:002500> block group:3",81.0,29.0,,,,,,,,,,1176,31.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.6
"Block Group 2, Census Tract 34.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:003401> block group:2",149.0,52.0,,,,,,,,,,1673,42.0,30.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.4,57.6
"Block Group 3, Census Tract 34.01, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:003401> block group:3",140.0,44.0,,,,,,,,,,1340,52.7,69.5,-666666666.0,-666666666.0,-666666666.0,39.0,16.4,61.0
"Block Group 1, Census Tract 51.02, Nueces County, Texas: Summary level: 150, state:48> county:355> tract:005102> block group:1",75.0,77.0,,,,,,,,,,1148,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
