,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1404.05, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140405> block group:1",227,97,,,,,,,,,,2649,50.2,-666666666.0,62.0,-666666666.0,-666666666.0,-666666666.0,54.6,49.4
"Block Group 2, Census Tract 1404.05, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140405> block group:2",234,84,,,,,,,,,,2692,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.2,42.8
"Block Group 2, Census Tract 1404.07, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140407> block group:2",88,43,,,,,,,,,,1839,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.3,51.4
"Block Group 3, Census Tract 1404.07, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140407> block group:3",233,99,,,,,,,,,,4686,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4,18.3,47.0
"Block Group 5, Census Tract 1403, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140300> block group:5",73,27,,,,,,,,,,1537,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.9
"Block Group 4, Census Tract 1403, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140300> block group:4",84,30,,,,,,,,,,1680,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.6,-666666666.0,42.6
"Block Group 4, Census Tract 1406.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140602> block group:4",42,16,,,,,,,,,,843,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 2, Census Tract 1406.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140602> block group:2",185,83,,,,,,,,,,4565,45.3,6.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.6,44.8
"Block Group 3, Census Tract 1401.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140102> block group:3",86,30,,,,,,,,,,1259,27.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.7
"Block Group 2, Census Tract 1401.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140102> block group:2",104,46,,,,,,,,,,1127,46.5,-666666666.0,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.3
"Block Group 2, Census Tract 1404.11, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140411> block group:2",115,45,,,,,,,,,,1272,49.5,-666666666.0,-666666666.0,22.3,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 2, Census Tract 1405.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140502> block group:2",319,142,,,,,,,,,,2435,44.2,2.8,46.6,-666666666.0,-666666666.0,25.0,62.7,43.6
"Block Group 3, Census Tract 1405.02, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140502> block group:3",427,97,,,,,,,,,,2420,32.3,28.4,-666666666.0,-666666666.0,-666666666.0,25.1,22.6,32.9
"Block Group 2, Census Tract 1407.06, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140706> block group:2",195,87,,,,,,,,,,1901,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 1404.09, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140409> block group:2",125,41,,,,,,,,,,1605,37.7,38.2,-666666666.0,-666666666.0,-666666666.0,14.7,-666666666.0,43.1
"Block Group 2, Census Tract 1404.10, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140410> block group:2",121,45,,,,,,,,,,1847,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.9,41.5
"Block Group 1, Census Tract 1404.10, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140410> block group:1",100,40,,,,,,,,,,1610,37.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 3, Census Tract 1405.01, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140501> block group:3",261,105,,,,,,,,,,2588,41.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.3,-666666666.0,42.6
"Block Group 2, Census Tract 1405.01, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140501> block group:2",119,46,,,,,,,,,,2878,37.6,-666666666.0,38.5,-666666666.0,-666666666.0,37.2,-666666666.0,37.5
"Block Group 1, Census Tract 1402, Parker County, Texas: Summary level: 150, state:48> county:367> tract:140200> block group:1",93,36,,,,,,,,,,1733,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
