,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9503, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950300> block group:3",46,17,,,,,,,,,,852,25.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0,-666666666.0,71.2
"Block Group 1, Census Tract 9503, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950300> block group:1",67,36,,,,,,,,,,1008,30.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.7,-666666666.0,39.1
"Block Group 2, Census Tract 9503, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950300> block group:2",32,15,,,,,,,,,,538,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 2, Census Tract 9505, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950500> block group:2",75,30,,,,,,,,,,1071,22.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.1
"Block Group 2, Census Tract 9501, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950100> block group:2",118,54,,,,,,,,,,827,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.4,-666666666.0,42.0
"Block Group 1, Census Tract 9504, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950400> block group:1",77,31,,,,,,,,,,1164,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.9,-666666666.0,49.2
"Block Group 2, Census Tract 9504, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950400> block group:2",76,32,,,,,,,,,,1128,29.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.1
"Block Group 3, Census Tract 9505, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950500> block group:3",296,26,,,,,,,,,,2548,37.3,37.0,61.3,34.7,-666666666.0,-666666666.0,27.8,48.2
"Block Group 4, Census Tract 9503, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950300> block group:4",53,32,,,,,,,,,,853,45.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.9,-666666666.0,33.3
"Block Group 1, Census Tract 9505, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950500> block group:1",159,47,,,,,,,,,,1974,42.7,27.9,-666666666.0,-666666666.0,-666666666.0,26.5,-666666666.0,37.3
"Block Group 1, Census Tract 9501, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950100> block group:1",168,93,,,,,,,,,,906,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5,-666666666.0,52.5
"Block Group 3, Census Tract 9504, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950400> block group:3",79,33,,,,,,,,,,1078,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.8,-666666666.0,59.6
"Block Group 4, Census Tract 9504, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950400> block group:4",88,35,,,,,,,,,,1249,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.4,51.7,35.8
"Block Group 3, Census Tract 9501, Pecos County, Texas: Summary level: 150, state:48> county:371> tract:950100> block group:3",114,68,,,,,,,,,,611,40.5,31.1,-666666666.0,43.0,-666666666.0,24.5,-666666666.0,44.2
