,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 216.05, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021605> block group:1",212,77,,,,,,,,,,1151,41.1,59.3,-666666666.0,-666666666.0,-666666666.0,24.7,22.2,43.0
"Block Group 2, Census Tract 218.02, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021802> block group:2",228,47,,,,,,,,,,1897,21.0,19.9,14.8,45.0,-666666666.0,-666666666.0,4.9,22.3
"Block Group 2, Census Tract 201, Randall County, Texas: Summary level: 150, state:48> county:381> tract:020100> block group:2",216,80,,,,,,,,,,1205,47.0,55.7,-666666666.0,-666666666.0,-666666666.0,54.1,6.0,50.1
"Block Group 1, Census Tract 201, Randall County, Texas: Summary level: 150, state:48> county:381> tract:020100> block group:1",156,70,,,,,,,,,,958,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.6,51.9
"Block Group 3, Census Tract 213, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021300> block group:3",81,36,,,,,,,,,,1686,38.7,35.2,-666666666.0,22.9,-666666666.0,-666666666.0,-666666666.0,41.6
"Block Group 2, Census Tract 213, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021300> block group:2",43,19,,,,,,,,,,747,60.4,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.7
"Block Group 1, Census Tract 213, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021300> block group:1",51,24,,,,,,,,,,882,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.8,64.4
"Block Group 5, Census Tract 213, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021300> block group:5",47,24,,,,,,,,,,1018,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0,42.7
"Block Group 4, Census Tract 213, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021300> block group:4",55,24,,,,,,,,,,922,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 4, Census Tract 216.02, Randall County, Texas: Summary level: 150, state:48> county:381> tract:021602> block group:4",23,11,,,,,,,,,,676,20.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
