,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9605, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960500> block group:2",67,34,,,,,,,,,,1643,47.0,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 3, Census Tract 9605, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960500> block group:3",63,34,,,,,,,,,,1293,33.3,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.7
"Block Group 4, Census Tract 9605, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960500> block group:4",22,11,,,,,,,,,,413,49.4,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 1, Census Tract 9605, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960500> block group:1",96,42,,,,,,,,,,2381,30.5,21.1,-666666666.0,-666666666.0,-666666666.0,25.8,-666666666.0,30.7
"Block Group 2, Census Tract 9601, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960100> block group:2",252,151,,,,,,,,,,1125,51.6,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7
"Block Group 1, Census Tract 9603, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960300> block group:1",94,55,,,,,,,,,,1190,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 3, Census Tract 9603, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960300> block group:3",81,69,,,,,,,,,,910,56.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.0
"Block Group 2, Census Tract 9603, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960300> block group:2",303,144,,,,,,,,,,2371,33.1,44.4,-666666666.0,-666666666.0,-666666666.0,10.7,43.3,34.4
"Block Group 1, Census Tract 9601, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960100> block group:1",92,58,,,,,,,,,,676,40.9,61.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.6,40.9
"Block Group 3, Census Tract 9604, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960400> block group:3",90,49,,,,,,,,,,875,47.6,63.2,-666666666.0,-666666666.0,-666666666.0,73.5,-666666666.0,55.5
"Block Group 1, Census Tract 9604, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960400> block group:1",87,49,,,,,,,,,,1160,54.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.1
"Block Group 2, Census Tract 9604, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960400> block group:2",100,44,,,,,,,,,,849,40.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.5,-666666666.0,49.0
"Block Group 2, Census Tract 9602, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960200> block group:2",89,50,,,,,,,,,,869,21.1,20.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5,46.8
"Block Group 1, Census Tract 9602, Robertson County, Texas: Summary level: 150, state:48> county:395> tract:960200> block group:1",127,81,,,,,,,,,,777,53.7,25.3,-666666666.0,49.3,-666666666.0,-666666666.0,13.7,56.5
