,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 404.01, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040401> block group:2",168,61,,,,,,,,,,3869,38.3,43.7,-666666666.0,13.4,-666666666.0,45.5,40.7,39.7
"Block Group 1, Census Tract 404.01, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040401> block group:1",262,82,,,,,,,,,,6294,25.8,13.3,39.4,-666666666.0,-666666666.0,18.8,14.4,25.8
"Block Group 4, Census Tract 405.05, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040505> block group:4",286,107,,,,,,,,,,3079,42.0,47.8,-666666666.0,45.3,-666666666.0,-666666666.0,15.7,43.3
"Block Group 3, Census Tract 405.05, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040505> block group:3",106,36,,,,,,,,,,2733,30.2,15.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.8,30.3
"Block Group 2, Census Tract 405.03, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040503> block group:2",106,35,,,,,,,,,,2521,36.1,37.8,-666666666.0,-666666666.0,-666666666.0,44.6,15.6,40.4
"Block Group 1, Census Tract 405.03, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040503> block group:1",45,17,,,,,,,,,,1394,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 1, Census Tract 405.06, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040506> block group:1",222,81,,,,,,,,,,4473,43.6,-666666666.0,-666666666.0,43.0,-666666666.0,-666666666.0,17.4,43.5
"Block Group 2, Census Tract 405.06, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040506> block group:2",251,95,,,,,,,,,,2695,48.4,-666666666.0,-666666666.0,40.3,-666666666.0,-666666666.0,10.5,48.6
"Block Group 1, Census Tract 401.01, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040101> block group:1",202,65,,,,,,,,,,3786,40.9,-666666666.0,-666666666.0,36.3,-666666666.0,63.5,7.3,45.3
"Block Group 2, Census Tract 401.01, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040101> block group:2",136,52,,,,,,,,,,2712,35.4,41.5,-666666666.0,41.9,-666666666.0,-666666666.0,10.1,36.5
"Block Group 1, Census Tract 405.04, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040504> block group:1",113,41,,,,,,,,,,2601,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 2, Census Tract 405.04, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040504> block group:2",54,24,,,,,,,,,,1289,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 3, Census Tract 405.04, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040504> block group:3",130,65,,,,,,,,,,2791,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.5
"Block Group 1, Census Tract 404.02, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040402> block group:1",163,59,,,,,,,,,,3222,31.6,42.4,-666666666.0,4.4,-666666666.0,-666666666.0,-666666666.0,32.2
"Block Group 1, Census Tract 401.02, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040102> block group:1",139,55,,,,,,,,,,2882,39.0,39.6,-666666666.0,65.3,-666666666.0,16.9,11.3,44.8
"Block Group 1, Census Tract 402, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040200> block group:1",196,72,,,,,,,,,,2317,43.2,46.8,-666666666.0,50.0,-666666666.0,33.2,15.9,43.8
"Block Group 1, Census Tract 403.02, Rockwall County, Texas: Summary level: 150, state:48> county:397> tract:040302> block group:1",111,40,,,,,,,,,,1528,48.7,57.5,-666666666.0,19.8,-666666666.0,48.1,-666666666.0,54.4
