,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9502, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950200> block group:3",204,113,,,,,,,,,,1459,31.6,34.5,-666666666.0,-666666666.0,-666666666.0,7.7,-666666666.0,39.2
"Block Group 1, Census Tract 9502, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950200> block group:1",95,63,,,,,,,,,,989,49.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 2, Census Tract 9501, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950100> block group:2",93,81,,,,,,,,,,1567,50.0,66.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.0
"Block Group 1, Census Tract 9503, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950300> block group:1",146,71,,,,,,,,,,982,51.4,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 3, Census Tract 9503, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950300> block group:3",115,63,,,,,,,,,,1287,29.3,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 2, Census Tract 9502, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950200> block group:2",94,58,,,,,,,,,,834,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.0
"Block Group 1, Census Tract 9501, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950100> block group:1",46,63,,,,,,,,,,715,59.9,88.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9
"Block Group 2, Census Tract 9503, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950300> block group:2",71,81,,,,,,,,,,1054,61.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.0
"Block Group 4, Census Tract 9503, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950300> block group:4",50,52,,,,,,,,,,1005,62.4,17.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.4
"Block Group 5, Census Tract 9503, Sabine County, Texas: Summary level: 150, state:48> county:403> tract:950300> block group:5",29,35,,,,,,,,,,548,64.7,23.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.7
