,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9502.03, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950203> block group:2",121,46,,,,,,,,,,2366,36.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.8,54.6,-666666666.0
"Block Group 1, Census Tract 9502.03, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950203> block group:1",81,27,,,,,,,,,,1695,22.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9501.05, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950105> block group:2",167,56,,,,,,,,,,2252,26.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.3,-666666666.0,16.4
"Block Group 2, Census Tract 9502.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950204> block group:2",151,59,,,,,,,,,,702,31.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9502.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950204> block group:1",93,34,,,,,,,,,,1273,21.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,84.1,-666666666.0,-666666666.0
"Block Group 4, Census Tract 9502.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950204> block group:4",97,43,,,,,,,,,,1149,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,76.1,-666666666.0,73.5
"Block Group 2, Census Tract 9501.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950104> block group:2",64,22,,,,,,,,,,1340,28.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.6,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9501.07, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950107> block group:1",102,31,,,,,,,,,,2066,23.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.1,5.3,-666666666.0
"Block Group 1, Census Tract 9501.06, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950106> block group:1",219,71,,,,,,,,,,2407,23.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9501.08, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950108> block group:1",137,48,,,,,,,,,,1722,29.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.5,-666666666.0,45.2
"Block Group 2, Census Tract 9504.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950402> block group:2",126,40,,,,,,,,,,2362,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.7,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9504.01, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950401> block group:2",109,36,,,,,,,,,,1896,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9504.01, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950401> block group:3",90,27,,,,,,,,,,1445,22.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.7,12.2,-666666666.0
"Block Group 1, Census Tract 9504.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950402> block group:1",140,42,,,,,,,,,,2693,22.7,-666666666.0,-666666666.0,55.2,-666666666.0,36.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9506, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950600> block group:1",20,9,,,,,,,,,,582,42.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9506, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950600> block group:2",71,21,,,,,,,,,,1092,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 4, Census Tract 9505, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950500> block group:4",159,30,,,,,,,,,,1495,36.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9505, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950500> block group:1",25,14,,,,,,,,,,315,48.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.7,-666666666.0
"Block Group 2, Census Tract 9505, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950500> block group:2",51,25,,,,,,,,,,856,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,85.1,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9505, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950500> block group:3",110,38,,,,,,,,,,1740,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8,52.5,-666666666.0
"Block Group 2, Census Tract 9502.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950202> block group:2",161,63,,,,,,,,,,1200,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.4,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9502.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950202> block group:1",122,55,,,,,,,,,,1092,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,75.3
"Block Group 2, Census Tract 9507.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950702> block group:2",102,46,,,,,,,,,,2016,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.7,-666666666.0,64.9
"Block Group 1, Census Tract 9507.02, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950702> block group:1",79,25,,,,,,,,,,1318,27.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.8,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9507.01, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950701> block group:1",123,50,,,,,,,,,,1993,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,70.2,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9507.01, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950701> block group:2",142,58,,,,,,,,,,1843,37.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9501.01, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950101> block group:1",193,106,,,,,,,,,,1172,42.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.4,17.7,22.3
"Block Group 3, Census Tract 9506, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950600> block group:3",89,31,,,,,,,,,,2208,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,73.7
"Block Group 1, Census Tract 9501.05, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950105> block group:1",131,30,,,,,,,,,,2053,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9502.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950204> block group:3",125,38,,,,,,,,,,2204,25.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 9501.04, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950104> block group:1",145,53,,,,,,,,,,2199,31.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.9,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9501.07, Starr County, Texas: Summary level: 150, state:48> county:427> tract:950107> block group:2",127,33,,,,,,,,,,2748,21.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.5,-666666666.0,-666666666.0
